,,Glenn Allen Youngkin,Terence Richard McAuliffe,Princess Latece Teira Blanding,Write-Ins,Total Votes Cast,Undervotes
Precinct,4 - Churchland (CD 3),583,225,4,0,812,0
Precinct,5 - Crestwood (CD 3),139,677,9,0,825,0
Precinct,6 - Deep Creek (CD 4),523,358,3,0,884,0
Precinct,7 - Greenbrier (CD 4),501,250,5,0,756,0
Precinct,8 - South Norfolk Recreation (CD 3),567,499,11,0,1077,0
Precinct,9 - Bells Mill (CD 4),1037,303,3,0,1343,0
Precinct,10 - Oscar Smith (CD 3),285,212,4,0,501,0
Precinct,11 - Geneva Park (CD 3),483,252,10,0,745,0
Precinct,12 - Georgetown (CD 3),122,439,7,0,568,0
Precinct,13 - Gilmerton (CD 3),536,378,8,0,922,0
Precinct,14 - Grassfield (CD 4),591,255,6,1,853,0
Precinct,15 - Greenbrier Middle School (CD 3),395,443,11,0,849,0
Precinct,16 - Hickory Grove (CD 4),953,258,11,0,1222,0
Precinct,17 - Indian Creek (CD 4),787,164,11,0,962,0
Precinct,18 - Indian River (CD 3),261,355,15,0,631,0
Precinct,19 - Jolliff (CD 4),490,188,5,0,683,0
Precinct,20 - E W Chittum (CD 4),667,382,7,2,1058,0
Precinct,21 - Fellowship (CD 3),621,376,6,0,1003,0
Precinct,22 - Norfolk Highlands (CD 3),385,204,4,1,594,0
Precinct,23 - Oak Grove (CD 4),470,452,7,0,929,0
Precinct,24 - Oaklette (CD 3),363,332,14,0,709,0
Precinct,25 - St Julians (CD 3),317,404,13,0,734,0
Precinct,26 - Johnson Park (CD 3),190,263,9,1,463,0
Precinct,27 - Silverwood (CD 3),564,321,10,0,895,0
Precinct,28 - Sunray I (CD 4),158,65,0,0,223,0
Precinct,29 - Tanglewood (CD 3),535,199,5,1,740,0
Precinct,30 - South Norfolk (CD 3),23,348,6,2,379,0
Precinct,31 - Carver School (CD 3),166,556,7,5,734,0
Precinct,32 - Providence (CD 3),66,696,9,3,774,0
Precinct,33 - Westover (CD 3),406,190,2,1,599,0
Precinct,34 - Hickory Middle School (CD 4),974,232,2,0,1208,0
Precinct,35 - Taylor Road (CD 3),188,310,4,1,503,0
Precinct,36 - Great Bridge Baptist Church (CD 4),711,234,3,1,949,0
Precinct,37 - Bridgetown (CD 4),701,275,1,1,978,0
Precinct,38 - Bailey Creek (CD 3),650,218,3,0,871,0
Precinct,39 - Lake Drummond (CD 4),456,266,2,0,724,0
Precinct,41 - John T West (CD 4),827,644,24,4,1499,0
Precinct,42 - Parkways (CD 3),285,371,4,0,660,0
Precinct,43 - Pleasant Crossing (CD 4),746,182,7,0,935,0
Precinct,44 - Nansemond (CD 3),358,401,6,1,766,0
Precinct,45 - Sunray II (CD 4),150,175,3,0,328,0
Precinct,46 - Bells Mill II (CD 4),599,336,7,0,942,0
Precinct,48 - Jolliff Middle School (CD 4),121,669,12,1,803,0
Precinct,49 - Waterway (CD 4),457,305,2,0,764,0
Precinct,50 - River Walk (CD 4),467,509,9,2,987,0
Precinct,51 - Coopers Way (CD 4),1176,360,6,2,1544,0
Precinct,52 - Shipyard Road (CD 4),384,354,9,0,747,0
Precinct,53 - Fairways (CD 3),578,512,4,1,1095,0
Precinct,54 - Pughsville (CD 3),224,432,7,2,665,0
Precinct,55 - Georgetown East (CD 3),142,297,9,1,449,0
Precinct,56 - Green Tree (CD 3),344,360,3,2,709,0
Precinct,57 - Cypress (CD 3),332,335,8,1,676,0
Precinct,58 - Expressway (CD 4),123,216,3,0,342,0
Precinct,59 - Clearfield (CD 4),535,426,1,1,963,0
Precinct,60 - Parker Road (CD 4),682,224,2,1,909,0
Precinct,61 - Centerville (CD 4),1011,346,7,1,1365,0
Precinct,62 - Fentress (CD 4),901,304,0,0,1205,0
Precinct,63 - Poplar Branch (CD 4),519,99,4,1,623,0
Precinct,64 - Deep Creek Ii (CD 4),435,340,9,0,784,0
Precinct,65 - Waterway Ii (CD 4),474,292,2,0,768,0
Precinct,AB - Central Absentee Precinct (CD 3),673,2585,50,1,3309,0
Precinct,Ab - Central Absentee Precinct (CD 4),1332,2696,30,1,4059,0
Precinct,Provisional (CD 3),25,68,2,0,95,0
Precinct,Provisional (CD 4),44,65,1,0,110,0
Locality,Chesterfield County,80889,74085,1194,109,156277,0
Precinct,##ev - Central Absentee Precinct (CD 4),8890,6807,57,7,15761,0
Precinct,##ev - Central Absentee Precinct (CD 7),19109,18131,170,18,37428,0
Precinct,##pe - Central Absentee Precinct (CD 4),64,171,6,0,241,0
Precinct,##pe - Central Absentee Precinct (CD 7),218,553,20,0,791,0
Precinct,101 - Bellwood (CD 4),435,365,12,0,812,0
Precinct,102 - South Chester (CD 4),688,482,18,1,1189,0
Precinct,103 - Enon (CD 4),1123,642,11,0,1776,0
Precinct,104 - North Chester (CD 4),876,447,10,3,1336,0
Precinct,105 - Drewrys Bluff (CD 7),317,407,10,0,734,0
Precinct,106 - Harrowgate (CD 4),820,749,18,1,1588,0
Precinct,107 - Wells (CD 4),621,537,11,1,1170,0
Precinct,108 - Ecoff (CD 4),883,484,11,1,1379,0
Precinct,109 - Elizabeth Scott (CD 4),1076,752,8,2,1838,0
Precinct,110 - Dutch Gap (CD 4),580,390,11,0,981,0
Precinct,111 - Iron Bridge (CD 4),480,258,10,0,748,0
Precinct,112 - Carver (CD 4),480,437,2,0,919,0
Precinct,113 - Iron Bridge North (CD 4),423,400,11,1,835,0
Precinct,201 - Gates (CD 4),480,303,8,0,791,0
Precinct,202 - Beulah (CD 7),425,777,23,1,1226,0
Precinct,203 - Bird (CD 4),328,227,9,0,564,0
Precinct,204 - Jacobs (CD 7),395,388,6,0,789,0
Precinct,205 - Falling Creek (CD 7),304,633,7,0,944,0
Precinct,206 - Belmont (CD 7),115,438,11,0,564,0
Precinct,207 - Chippenham (CD 7),114,223,6,0,343,0
Precinct,208 - Meadowbrook (CD 7),255,594,9,0,858,0
Precinct,209 - Salem Church (CD 4),580,374,7,2,963,0
Precinct,210 - Five Forks (CD 7),583,858,16,5,1462,0
Precinct,211 - Nash (CD 4),1004,457,7,1,1469,0
Precinct,212 - St. Luke's (CD 7),401,295,6,2,704,0
Precinct,213 - Southside (CD 7),169,382,9,2,562,0
Precinct,214 - Hopkins (CD 7),27,110,4,0,141,0
Precinct,215 - North Bird (CD 7),170,277,5,0,452,0
Precinct,216 - Ridgedale (CD 7),194,647,8,0,849,0
Precinct,301 - Ettrick (CD 4),251,603,10,3,867,0
Precinct,302 - Deer Run (CD 7),292,158,2,0,452,0
Precinct,303 - Matoaca (CD 4),805,484,8,2,1299,0
Precinct,304 - Winfrees Store (CD 4),779,202,4,0,985,0
Precinct,305 - Beach (CD 4),411,94,3,0,508,0
Precinct,306 - Winterpock (CD 7),1285,331,6,0,1622,0
Precinct,307 - Cosby (CD 7),1368,934,19,4,2325,0
Precinct,308 - South Manchester (CD 7),194,207,4,0,405,0
Precinct,309 - Skinquarter (CD 7),869,432,6,0,1307,0
Precinct,310 - Tomahawk (CD 7),851,575,7,0,1433,0
Precinct,313 - Woolridge (CD 7),1133,722,11,0,1866,0
Precinct,314 - Longhouse (CD 4),531,106,4,1,642,0
Precinct,315 - Bailey Bridge (CD 7),972,324,12,1,1309,0
Precinct,316 - Spring Run (CD 7),820,496,18,1,1335,0
Precinct,317 - Birkdale (CD 7),1009,610,6,1,1626,0
Precinct,318 - West Beach (CD 7),309,155,1,0,465,0
Precinct,319 - Magnolia (CD 7),1340,729,6,1,2076,0
Precinct,401 - Harbour Pointe (CD 7),485,331,4,2,822,0
Precinct,402 - Genito (CD 7),267,243,3,0,513,0
Precinct,403 - Brandermill (CD 7),798,594,17,0,1409,0
Precinct,404 - Providence (CD 7),503,530,13,0,1046,0
Precinct,405 - La Prade (CD 7),560,421,9,1,991,0
Precinct,406 - Smoketree (CD 7),608,434,8,3,1053,0
Precinct,407 - Monacan (CD 7),389,249,7,1,646,0
Precinct,408 - Reams (CD 7),614,713,25,0,1352,0
Precinct,409 - Manchester (CD 7),376,402,6,0,784,0
Precinct,410 - Wagstaff (CD 7),411,346,17,0,774,0
Precinct,411 - Swift Creek (CD 7),723,551,9,1,1284,0
Precinct,412 - Clover Hill (CD 7),682,523,10,1,1216,0
Precinct,413 - Shenandoah (CD 7),571,543,14,0,1128,0
Precinct,414 - Crenshaw (CD 7),1049,721,18,1,1789,0
Precinct,415 - Evergreen (CD 7),656,471,19,0,1146,0
Precinct,416 - Evergreen West (CD 7),466,385,6,0,857,0
Precinct,417 - Edgewater (CD 7),479,357,2,1,839,0
Precinct,501 - Huguenot (CD 7),513,558,17,0,1088,0
Precinct,502 - Crestwood (CD 7),341,358,7,1,707,0
Precinct,503 - Midlothian (CD 7),865,565,7,0,1437,0
Precinct,504 - Robious (CD 7),1143,772,5,3,1923,0
Precinct,505 - Bon Air (CD 7),657,779,19,1,1456,0
Precinct,506 - Greenfield (CD 7),623,756,16,2,1397,0
Precinct,507 - Salisbury (CD 7),1257,758,5,3,2023,0
Precinct,508 - Belgrade (CD 7),602,495,9,2,1108,0
Precinct,509 - Cranbeck (CD 7),389,514,5,0,908,0
Precinct,510 - Sycamore (CD 7),788,530,7,0,1325,0
Precinct,511 - Black Heath (CD 7),670,414,8,2,1094,0
Precinct,513 - Beaufont (CD 7),191,355,10,0,556,0
Precinct,514 - Watkins (CD 7),885,593,15,0,1493,0
Precinct,515 - Davis (CD 7),223,615,18,3,859,0
Precinct,516 - Pocoshock (CD 7),191,414,7,1,613,0
Precinct,517 - Roseland (CD 7),742,433,3,0,1178,0
Precinct,518 - Midlothian North (CD 7),941,524,3,1,1469,0
Precinct,Ab - Central Absentee Precinct (CD 4),1084,2431,42,2,3559,0
Precinct,Ab - Central Absentee Precinct (CD 7),3247,8122,136,15,11520,0
Precinct,Provisional (CD 4),9,23,0,0,32,0
Precinct,Provisional (CD 7),45,105,4,0,154,0
Locality,Clarke County,4642,2739,34,7,7422,0
Precinct,##ev - Central Absentee Precinct,1221,1044,8,0,2273,0
Precinct,##pe - Central Absentee Precinct,12,11,1,0,24,0
Precinct,101 - Russell,726,223,3,1,953,0
Precinct,201 - Berryville,478,271,1,0,750,0
Precinct,301 - Millwood,447,172,4,2,625,0
Precinct,302 - Pine Grove,245,110,5,1,361,0
Precinct,401 - White Post,707,289,6,2,1004,0
Precinct,501 - Buckmarsh,440,194,0,0,634,0
Precinct,502 - Blue Ridge,221,95,5,1,322,0
Precinct,Ab - Central Absentee Precinct,142,326,1,0,469,0
Precinct,Provisional,3,4,0,0,7,0
Locality,Colonial Heights City,4913,1729,53,10,6705,0
Precinct,##EV - Central Absentee Precinct,1965,570,12,2,2549,0
Precinct,##pe - Central Absentee Precinct,3,10,1,0,14,0
Precinct,1 - First,438,151,4,2,595,0
Precinct,2 - Second,479,175,7,1,662,0
Precinct,3 - Third,539,198,8,3,748,0
Precinct,4 - Fourth,550,224,11,1,786,0
Precinct,5 - Fifth,725,201,2,1,929,0
Precinct,Ab - Central Absentee Precinct,213,200,8,0,421,0
Precinct,Provisional,1,0,0,0,1,0
Locality,Covington City,1198,579,16,0,1793,0
Precinct,##pe - Central Absentee Precinct,0,2,0,0,2,0
Precinct,101 - Precinct 1-1,163,66,1,0,230,0
Precinct,201 - Precinct 2-1,193,83,0,0,276,0
Precinct,301 - Precinct 3-1,91,88,3,0,182,0
Precinct,401 - Precinct 4-1,277,75,4,0,356,0
Precinct,501 - Precinct 5-1,300,81,2,0,383,0
Precinct,Ab - Central Absentee Precinct,174,184,6,0,364,0
Precinct,Provisional,0,0,0,0,0,0
Precinct,ev - Central Absentee Precinct,0,0,0,0,0,0
Locality,Craig County,2079,400,17,4,2500,0
Precinct,##ev - Central Absentee Precinct,377,85,4,1,467,0
Precinct,##pe - Central Absentee Precinct,1,0,0,0,1,0
Precinct,101 - Court House,286,41,2,0,329,0
Precinct,201 - Ammendale Precinct,381,42,2,2,427,0
Precinct,301 - Givens & Reynolds Store,224,53,3,0,280,0
Precinct,303 - Marshalls Store,164,34,3,0,201,0
Precinct,401 - Barbours Creek,148,28,2,1,179,0
Precinct,402 - Paint Bank,25,8,0,0,33,0
Precinct,403 - Craig Springs,150,27,0,0,177,0
Precinct,501 - Craig City,278,36,0,0,314,0
Precinct,AB - Central Absentee Precinct,45,46,1,0,92,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Culpeper County,13436,6661,107,10,20214,0
Precinct,##ev - Central Absentee Precinct,2529,2042,15,2,4588,0
Precinct,##pe - Central Absentee Precinct,17,23,0,0,40,0
Precinct,101 - West Fairfax,887,572,14,3,1476,0
Precinct,201 - East Fairfax,670,523,15,0,1208,0
Precinct,302 - Eggbornsville,776,166,4,0,946,0
Precinct,303 - Cardova,612,135,3,0,750,0
Precinct,304 - Willow Shade,188,102,4,0,294,0
Precinct,401 - Eldorado,778,212,1,0,991,0
Precinct,402 - Browns Store,1143,334,6,0,1483,0
Precinct,501 - Jeffersonton,1093,339,6,1,1439,0
Precinct,502 - Rixeyville,996,225,5,0,1226,0
Precinct,601 - Mitchells,166,53,1,0,220,0
Precinct,602 - Pearl Sample,840,296,4,0,1140,0
Precinct,603 - South Ridge,233,132,3,0,368,0
Precinct,702 - Brandy Station,1083,268,2,3,1356,0
Precinct,703 - Lignum,534,135,2,0,671,0
Precinct,704 - Richardsville,371,62,2,0,435,0
Precinct,Ab - Central Absentee Precinct,509,1031,18,1,1559,0
Precinct,Provisional,11,11,2,0,24,0
Locality,Cumberland County,2678,1515,27,5,4225,0
Precinct,##ev - Central Absentee Precinct,491,444,3,2,940,0
Precinct,##pe - Central Absentee Precinct,1,2,0,0,3,0
Precinct,101 - Precinct 1,551,205,4,0,760,0
Precinct,201 - Precinct 2,450,141,3,3,597,0
Precinct,301 - Precinct 3,279,210,2,0,491,0
Precinct,401 - Precinct 4,469,154,4,0,627,0
Precinct,501 - Precinct 5,361,217,4,0,582,0
Precinct,Ab - Central Absentee Precinct,76,141,7,0,224,0
Precinct,Provisional,0,1,0,0,1,0
Locality,Danville City,5907,6872,80,5,12864,0
Precinct,##ev - Central Absentee Precinct,1493,1598,11,1,3103,0
Precinct,##pe - Central Absentee Precinct,12,14,0,0,26,0
Precinct,1 - Ward One,60,153,6,0,219,0
Precinct,2 - Ward Two,110,148,2,1,261,0
Precinct,3 - Ward Three,172,295,5,0,472,0
Precinct,4 - Ward Four,505,454,6,0,965,0
Precinct,6 - Ward Six,55,195,1,0,251,0
Precinct,7 - Ward Seven,85,290,2,0,377,0
Precinct,8 - Ward Eight,151,254,0,0,405,0
Precinct,9 - Ward Nine,222,192,6,0,420,0
Precinct,10 - Ward Ten,283,299,2,2,586,0
Precinct,11 - Ward Eleven,257,416,1,0,674,0
Precinct,12 - Ward Twelve,348,428,5,0,781,0
Precinct,13 - Ward Thirteen,313,386,4,0,703,0
Precinct,14 - Ward Fourteen,9,81,1,0,91,0
Precinct,15 - Ward Fifteen,385,311,5,0,701,0
Precinct,16 - Ward Sixteen,561,316,5,1,883,0
Precinct,17 - Ward Seventeen,537,176,3,0,716,0
Precinct,Ab - Central Absentee Precinct,345,847,15,0,1207,0
Precinct,Provisional,4,19,0,0,23,0
Locality,Dickenson County,3867,934,11,3,4815,0
Precinct,##ev - Central Absentee Precinct,863,353,2,0,1218,0
Precinct,##pe - Central Absentee Precinct,2,4,0,0,6,0
Precinct,101 - South Clintwood,496,73,2,0,571,0
Precinct,201 - Nora,219,32,0,0,251,0
Precinct,202 - Frying Pan,91,13,1,1,106,0
Precinct,203 - Clinchco,274,51,0,0,325,0
Precinct,301 - West Dante,152,6,1,1,160,0
Precinct,302 - Herald,266,21,0,0,287,0
Precinct,303 - Ridge,190,26,1,0,217,0
Precinct,304 - Longs Fork,165,12,0,0,177,0
Precinct,401 - Haysi-colley,493,132,0,0,625,0
Precinct,501 - Tarpon,131,26,1,0,158,0
Precinct,502 - North Clintwood,412,70,0,1,483,0
Precinct,Ab - Central Absentee Precinct,111,112,3,0,226,0
Precinct,Provisional,2,3,0,0,5,0
Locality,Dinwiddie County,7335,4181,59,7,11582,0
Precinct,##ev - Central Absentee Precinct,1860,1345,14,0,3219,0
Precinct,##pe - Central Absentee Precinct,10,18,0,0,28,0
Precinct,101 - White Oak,356,63,1,0,420,0
Precinct,102 - Rocky Run,453,85,1,0,539,0
Precinct,103 - Church Road,768,98,1,0,867,0
Precinct,201 - Rohoic,203,221,5,0,429,0
Precinct,202 - Sutherland,738,309,7,1,1055,0
Precinct,301 - Reams,331,79,0,2,412,0
Precinct,302 - New Hope,416,157,3,0,576,0
Precinct,303 - Little Zion,430,267,4,0,701,0
Precinct,401 - Dinwiddie,539,206,3,1,749,0
Precinct,402 - Mckenney,350,150,1,0,501,0
Precinct,403 - Cherry Hill,219,113,0,1,333,0
Precinct,501 - Edgehill,45,82,2,1,130,0
Precinct,502 - Chesdin,426,553,6,0,985,0
Precinct,Ab - Central Absentee Precinct,190,432,11,1,634,0
Precinct,Provisional,1,3,0,0,4,0
Locality,Emporia City,723,1087,20,2,1832,0
Precinct,##ev - Central Absentee Precinct,141,273,11,0,425,0
Precinct,##pe - Central Absentee Precinct,1,0,0,0,1,0
Precinct,101 - Precinct 1-1,73,143,2,0,218,0
Precinct,201 - Precinct 2-1,8,100,1,0,109,0
Precinct,301 - Precinct 3-1,114,84,3,0,201,0
Precinct,401 - Precinct 4-1,128,114,0,0,242,0
Precinct,501 - Precinct 5-1,7,89,0,2,98,0
Precinct,601 - District 6,157,67,1,0,225,0
Precinct,701 - District 7,53,109,1,0,163,0
Precinct,AB - Central Absentee Precinct,41,107,1,0,149,0
Precinct,Provisional,0,1,0,0,1,0
Locality,Essex County,2684,1980,39,6,4709,0
Precinct,##ev - Central Absentee Precinct,902,786,9,3,1700,0
Precinct,##pe - Central Absentee Precinct,1,3,0,0,4,0
Precinct,101 - Greater Tappahannock,318,251,6,1,576,0
Precinct,201 - North,282,334,7,0,623,0
Precinct,301 - South,632,224,2,0,858,0
Precinct,401 - Central,470,208,11,0,689,0
Precinct,Ab - Central Absentee Precinct,77,172,4,2,255,0
Precinct,Provisional,2,2,0,0,4,0
Locality,Fairfax City,3606,6465,59,12,10142,0
Precinct,##ev - Central Absentee Precinct,1056,2116,11,3,3186,0
Precinct,##pe - Central Absentee Precinct,10,31,2,0,43,0
Precinct,1 - One,338,542,4,1,885,0
Precinct,2 - Two,422,488,5,1,916,0
Precinct,3 - Three,513,643,9,1,1166,0
Precinct,4 - Four,346,439,6,4,795,0
Precinct,5 - Five,323,516,3,0,842,0
Precinct,6 - Six,378,536,3,0,917,0
Precinct,Ab - Central Absentee Precinct,212,1135,15,2,1364,0
Precinct,Provisional,8,19,1,0,28,0
Locality,Fairfax County,152110,286316,2348,492,441266,0
Precinct,##ev - Central Absentee Precinct (CD 10),10471,15308,49,9,25837,0
Precinct,##ev - Central Absentee Precinct (CD 11),15841,36461,148,33,52483,0
Precinct,##ev - Central Absentee Precinct (CD 8),8895,22291,88,26,31300,0
Precinct,##pe - Central Absentee Precinct (CD 10),490,1153,11,2,1656,0
Precinct,##pe - Central Absentee Precinct (CD 11),851,3409,61,5,4326,0
Precinct,##pe - Central Absentee Precinct (CD 8),527,2166,31,5,2729,0
Precinct,104 - Chapel (CD 11),452,662,5,0,1119,0
Precinct,105 - Fairview (CD 11),672,993,10,3,1678,0
Precinct,106 - Heritage (CD 11),468,762,12,0,1242,0
Precinct,108 - Kings Park (CD 11),460,635,9,2,1106,0
Precinct,109 - Little Run (CD 11),221,377,5,0,603,0
Precinct,110 - North Springfield (CD 11),761,964,9,3,1737,0
Precinct,113 - Canterbury (CD 11),654,1046,13,6,1719,0
Precinct,114 - Olde Creek (CD 11),383,547,4,2,936,0
Precinct,115 - Ravensworth (CD 11),396,506,7,2,911,0
Precinct,116 - Wakefield (CD 11),395,680,3,2,1080,0
Precinct,117 - Woodson (CD 11),487,623,7,3,1120,0
Precinct,118 - Lake Braddock (CD 11),588,1009,8,4,1609,0
Precinct,119 - Laurel (CD 11),731,991,7,1,1730,0
Precinct,120 - Sideburn (CD 11),632,705,2,2,1341,0
Precinct,121 - Villa (CD 11),381,462,12,1,856,0
Precinct,123 - Robinson (CD 11),689,950,5,0,1644,0
Precinct,125 - Signal Hill (CD 11),537,716,6,1,1260,0
Precinct,126 - Bonnie Brae (CD 11),385,637,8,2,1032,0
Precinct,127 - Burke Centre (CD 11),631,1129,10,2,1772,0
Precinct,128 - Cardinal (CD 11),347,596,8,4,955,0
Precinct,129 - Keene Mill (CD 11),323,461,7,2,793,0
Precinct,130 - Terra Centre (CD 11),424,679,6,3,1112,0
Precinct,131 - Eagle View (CD 11),559,726,8,4,1297,0
Precinct,132 - Monument (CD 11),414,742,7,0,1163,0
Precinct,133 - Danbury (CD 11),127,229,3,0,359,0
Precinct,134 - University (CD 11),60,314,7,0,381,0
Precinct,201 - Armstrong (CD 11),455,888,11,1,1355,0
Precinct,202 - Flint Hill (CD 11),577,736,2,2,1317,0
Precinct,203 - Floris (CD 11),674,933,5,4,1616,0
Precinct,204 - Madison (CD 11),127,216,5,0,348,0
Precinct,208 - Reston #1 (CD 11),454,929,14,0,1397,0
Precinct,209 - Reston #2 (CD 11),357,926,11,3,1297,0
Precinct,213 - Vienna #1 (CD 11),679,1038,7,1,1725,0
Precinct,214 - Vienna #2 (CD 11),567,844,8,2,1421,0
Precinct,216 - Vienna #4 (CD 11),285,390,6,1,682,0
Precinct,218 - Vienna #6 (CD 11),386,550,4,2,942,0
Precinct,219 - Westbriar (CD 11),554,815,7,0,1376,0
Precinct,220 - Dogwood (CD 11),494,934,10,2,1440,0
Precinct,221 - Hunters Woods (CD 11),413,745,7,1,1166,0
Precinct,222 - Reston #3 (CD 11),182,633,8,0,823,0
Precinct,223 - Glade (CD 11),415,1030,9,1,1455,0
Precinct,224 - South Lakes (CD 11),546,1330,12,4,1892,0
Precinct,225 - Hughes (CD 11),381,955,11,2,1349,0
Precinct,226 - Wolftrap (CD 11),695,962,6,2,1665,0
Precinct,227 - Sunrise Valley (CD 11),314,487,5,1,807,0
Precinct,229 - Fox Mill (CD 10),787,1083,11,1,1882,0
Precinct,233 - North Point (CD 11),595,732,6,3,1336,0
Precinct,234 - Aldrin (CD 11),394,653,6,3,1056,0
Precinct,235 - Frying Pan (CD 11),388,774,8,1,1171,0
Precinct,236 - Stuart (CD 11),232,379,5,0,616,0
Precinct,237 - Mcnair (CD 11),344,789,9,4,1146,0
Precinct,238 - Cameron Glen (CD 11),397,577,3,2,979,0
Precinct,240 - Colvin (CD 10),490,507,3,0,1000,0
Precinct,301 - Chain Bridge (CD 10),574,569,4,1,1148,0
Precinct,302 - Chesterbrook (CD 8),377,541,0,1,919,0
Precinct,303 - Churchill (CD 10),273,362,1,1,637,0
Precinct,304 - Cooper (CD 10),380,349,2,2,733,0
Precinct,305 - El Nido (CD 8),383,562,4,1,950,0
Precinct,306 - Great Falls (CD 10),435,329,3,3,770,0
Precinct,307 - Haycock (CD 8),431,663,4,1,1099,0
Precinct,309 - Kenmore (CD 10),605,598,7,5,1215,0
Precinct,310 - Kirby (CD 8),337,483,1,1,822,0
Precinct,311 - Langley (CD 10),405,388,5,0,798,0
Precinct,312 - Longfellow (CD 8),361,554,0,1,916,0
Precinct,314 - Mclean (CD 10),337,455,0,0,792,0
Precinct,315 - Pimmit (CD 8),503,677,5,4,1189,0
Precinct,316 - Salona #1 (CD 8),167,179,0,2,348,0
Precinct,317 - Westhampton (CD 8),296,495,7,0,798,0
Precinct,318 - Westmoreland (CD 8),236,365,0,0,601,0
Precinct,319 - Herndon #1 (CD 11),571,837,12,4,1424,0
Precinct,320 - Herndon #2 (CD 11),498,761,15,2,1276,0
Precinct,321 - Clearview (CD 10),741,979,18,2,1740,0
Precinct,322 - Forestville (CD 10),649,476,2,0,1127,0
Precinct,323 - Shouse (CD 10),408,560,1,1,970,0
Precinct,324 - Herndon #3 (CD 11),431,715,9,1,1156,0
Precinct,325 - Hutchison (CD 11),190,546,7,0,743,0
Precinct,327 - Sugarland (CD 10),641,834,4,1,1480,0
Precinct,328 - Hickory (CD 10),526,494,1,0,1021,0
Precinct,329 - Seneca (CD 10),668,599,3,3,1273,0
Precinct,331 - Spring Hill (CD 10),370,404,0,2,776,0
Precinct,332 - Coates (CD 11),448,893,15,3,1359,0
Precinct,333 - Salona #2 (CD 8),281,389,3,1,674,0
Precinct,401 - Bush Hill (CD 8),575,910,4,4,1493,0
Precinct,402 - Cameron (CD 8),160,365,1,1,527,0
Precinct,403 - Forestdale (CD 8),185,331,5,1,522,0
Precinct,404 - Franconia (CD 8),477,895,7,0,1379,0
Precinct,405 - Groveton (CD 8),190,463,5,0,658,0
Precinct,406 - Hayfield (CD 8),497,657,6,1,1161,0
Precinct,408 - Mount Eagle (CD 8),232,731,12,2,977,0
Precinct,409 - Pioneer (CD 8),500,827,4,2,1333,0
Precinct,410 - Rose Hill (CD 8),713,1064,6,3,1786,0
Precinct,411 - Virginia Hills (CD 8),338,633,9,2,982,0
Precinct,413 - Fairfield (CD 8),156,569,3,1,729,0
Precinct,415 - Crestwood (CD 8),486,644,12,4,1146,0
Precinct,417 - Garfield (CD 8),515,811,8,0,1334,0
Precinct,418 - Lynbrook (CD 8),303,457,2,1,763,0
Precinct,419 - Lane #1 (CD 8),139,310,2,0,451,0
Precinct,420 - Villages (CD 8),595,1091,9,2,1697,0
Precinct,421 - Kingstowne (CD 8),437,823,10,1,1271,0
Precinct,422 - Van Dorn (CD 8),421,899,12,1,1333,0
Precinct,423 - Clermont (CD 8),449,716,7,1,1173,0
Precinct,424 - Huntley (CD 8),412,739,4,0,1155,0
Precinct,426 - Greenspring (CD 11),292,674,2,2,970,0
Precinct,427 - Island Creek (CD 8),394,784,1,3,1182,0
Precinct,428 - Pinewood (CD 8),197,690,11,2,900,0
Precinct,429 - Hybla Valley (CD 8),217,720,11,2,950,0
Precinct,430 - Lane #2 (CD 8),275,581,8,0,864,0
Precinct,501 - Baileys #1 (CD 8),227,488,5,0,720,0
Precinct,502 - Barcroft (CD 11),197,366,2,0,565,0
Precinct,503 - Belvedere (CD 11),210,385,3,2,600,0
Precinct,504 - Bristow (CD 11),348,564,7,2,921,0
Precinct,505 - Glen Forest (CD 8),338,676,12,0,1026,0
Precinct,506 - Holmes #1 (CD 8),64,121,1,0,186,0
Precinct,507 - Lincolnia (CD 8),351,752,5,1,1109,0
Precinct,508 - Masonville (CD 11),430,697,6,1,1134,0
Precinct,509 - Plaza (CD 8),102,395,4,0,501,0
Precinct,510 - Parklawn (CD 8),309,497,2,2,810,0
Precinct,511 - Ravenwood (CD 11),348,636,12,3,999,0
Precinct,512 - Sleepy Hollow (CD 11),249,395,1,0,645,0
Precinct,513 - Saint Albans (CD 8),21,52,1,0,74,0
Precinct,513 - Saint Albans (CD 11),329,544,4,2,879,0
Precinct,514 - Crossroads (CD 8),82,323,1,0,406,0
Precinct,515 - Westlawn (CD 8),244,394,3,0,641,0
Precinct,516 - Weyanoke #1 (CD 8),246,321,6,0,573,0
Precinct,517 - Willston (CD 8),222,370,2,2,596,0
Precinct,518 - Columbia (CD 11),398,566,7,1,972,0
Precinct,519 - Hummer (CD 11),319,446,4,0,769,0
Precinct,520 - Skyline (CD 8),183,531,2,0,716,0
Precinct,521 - Brook Hill (CD 8),379,452,4,1,836,0
Precinct,522 - Camelot #1 (CD 11),77,110,1,0,188,0
Precinct,523 - Poe (CD 8),406,546,6,2,960,0
Precinct,525 - Walnut Hill (CD 8),491,714,9,3,1217,0
Precinct,526 - Bren Mar (CD 8),400,931,9,2,1342,0
Precinct,527 - Edsall (CD 8),382,522,8,2,914,0
Precinct,528 - Ridgelea (CD 11),261,369,8,0,638,0
Precinct,530 - Holmes #2 (CD 11),160,441,4,0,605,0
