,,Winsome Earle Sears,Hala Sophia Ayala,Write-Ins,Total Votes Cast,Undervotes
Precinct,38 - Bailey Creek (CD 3),650,213,1,864,0
Precinct,39 - Lake Drummond (CD 4),464,258,0,722,0
Precinct,41 - John T West (CD 4),840,652,2,1494,0
Precinct,42 - Parkways (CD 3),288,371,0,659,0
Precinct,43 - Pleasant Crossing (CD 4),750,183,1,934,0
Precinct,44 - Nansemond (CD 3),366,394,1,761,0
Precinct,45 - Sunray II (CD 4),152,174,0,326,0
Precinct,46 - Bells Mill II (CD 4),600,336,1,937,0
Precinct,48 - Jolliff Middle School (CD 4),131,670,3,804,0
Precinct,49 - Waterway (CD 4),457,304,0,761,0
Precinct,50 - River Walk (CD 4),473,510,1,984,0
Precinct,51 - Coopers Way (CD 4),1185,356,1,1542,0
Precinct,52 - Shipyard Road (CD 4),387,356,0,743,0
Precinct,53 - Fairways (CD 3),577,509,1,1087,0
Precinct,54 - Pughsville (CD 3),235,426,1,662,0
Precinct,55 - Georgetown East (CD 3),144,306,0,450,0
Precinct,56 - Green Tree (CD 3),344,359,1,704,0
Precinct,57 - Cypress (CD 3),335,335,1,671,0
Precinct,58 - Expressway (CD 4),123,219,0,342,0
Precinct,59 - Clearfield (CD 4),526,430,2,958,0
Precinct,60 - Parker Road (CD 4),683,220,1,904,0
Precinct,61 - Centerville (CD 4),1030,330,2,1362,0
Precinct,62 - Fentress (CD 4),892,311,1,1204,0
Precinct,63 - Poplar Branch (CD 4),525,96,0,621,0
Precinct,64 - Deep Creek Ii (CD 4),443,336,0,779,0
Precinct,65 - Waterway Ii (CD 4),474,293,0,767,0
Precinct,AB - Central Absentee Precinct (CD 3),727,2670,1,3398,0
Precinct,Ab - Central Absentee Precinct (CD 4),1425,2735,2,4162,0
Precinct,Provisional (CD 3),26,69,0,95,0
Precinct,Provisional (CD 4),48,62,0,110,0
Locality,Chesterfield County,80862,74774,170,155806,0
Precinct,##ev - Central Absentee Precinct (CD 4),8874,6834,12,15720,0
Precinct,##ev - Central Absentee Precinct (CD 7),19121,18176,22,37319,0
Precinct,##pe - Central Absentee Precinct (CD 4),67,172,1,240,0
Precinct,##pe - Central Absentee Precinct (CD 7),214,579,0,793,0
Precinct,101 - Bellwood (CD 4),432,369,1,802,0
Precinct,102 - South Chester (CD 4),678,499,4,1181,0
Precinct,103 - Enon (CD 4),1123,649,0,1772,0
Precinct,104 - North Chester (CD 4),869,457,3,1329,0
Precinct,105 - Drewrys Bluff (CD 7),316,415,3,734,0
Precinct,106 - Harrowgate (CD 4),818,766,5,1589,0
Precinct,107 - Wells (CD 4),621,544,2,1167,0
Precinct,108 - Ecoff (CD 4),890,484,1,1375,0
Precinct,109 - Elizabeth Scott (CD 4),1081,747,4,1832,0
Precinct,110 - Dutch Gap (CD 4),579,399,0,978,0
Precinct,111 - Iron Bridge (CD 4),476,271,0,747,0
Precinct,112 - Carver (CD 4),484,433,1,918,0
Precinct,113 - Iron Bridge North (CD 4),424,410,1,835,0
Precinct,201 - Gates (CD 4),480,306,0,786,0
Precinct,202 - Beulah (CD 7),427,793,4,1224,0
Precinct,203 - Bird (CD 4),319,241,2,562,0
Precinct,204 - Jacobs (CD 7),392,391,0,783,0
Precinct,205 - Falling Creek (CD 7),301,642,0,943,0
Precinct,206 - Belmont (CD 7),120,441,1,562,0
Precinct,207 - Chippenham (CD 7),113,227,1,341,0
Precinct,208 - Meadowbrook (CD 7),251,598,1,850,0
Precinct,209 - Salem Church (CD 4),571,392,1,964,0
Precinct,210 - Five Forks (CD 7),579,880,2,1461,0
Precinct,211 - Nash (CD 4),1014,451,1,1466,0
Precinct,212 - St. Luke's (CD 7),404,293,3,700,0
Precinct,213 - Southside (CD 7),167,389,2,558,0
Precinct,214 - Hopkins (CD 7),27,114,0,141,0
Precinct,215 - North Bird (CD 7),166,285,0,451,0
Precinct,216 - Ridgedale (CD 7),190,656,0,846,0
Precinct,301 - Ettrick (CD 4),255,606,4,865,0
Precinct,302 - Deer Run (CD 7),293,159,0,452,0
Precinct,303 - Matoaca (CD 4),800,494,1,1295,0
Precinct,304 - Winfrees Store (CD 4),787,195,2,984,0
Precinct,305 - Beach (CD 4),415,92,0,507,0
Precinct,306 - Winterpock (CD 7),1281,340,0,1621,0
Precinct,307 - Cosby (CD 7),1371,946,3,2320,0
Precinct,308 - South Manchester (CD 7),191,211,0,402,0
Precinct,309 - Skinquarter (CD 7),866,439,0,1305,0
Precinct,310 - Tomahawk (CD 7),839,586,4,1429,0
Precinct,313 - Woolridge (CD 7),1140,722,0,1862,0
Precinct,314 - Longhouse (CD 4),536,103,2,641,0
Precinct,315 - Bailey Bridge (CD 7),970,330,2,1302,0
Precinct,316 - Spring Run (CD 7),834,498,2,1334,0
Precinct,317 - Birkdale (CD 7),1010,612,0,1622,0
Precinct,318 - West Beach (CD 7),315,150,0,465,0
Precinct,319 - Magnolia (CD 7),1337,732,1,2070,0
Precinct,401 - Harbour Pointe (CD 7),481,337,0,818,0
Precinct,402 - Genito (CD 7),257,251,1,509,0
Precinct,403 - Brandermill (CD 7),795,612,0,1407,0
Precinct,404 - Providence (CD 7),500,541,2,1043,0
Precinct,405 - La Prade (CD 7),553,430,3,986,0
Precinct,406 - Smoketree (CD 7),605,438,2,1045,0
Precinct,407 - Monacan (CD 7),386,255,1,642,0
Precinct,408 - Reams (CD 7),593,750,1,1344,0
Precinct,409 - Manchester (CD 7),380,402,1,783,0
Precinct,410 - Wagstaff (CD 7),415,357,0,772,0
Precinct,411 - Swift Creek (CD 7),736,544,3,1283,0
Precinct,412 - Clover Hill (CD 7),672,538,1,1211,0
Precinct,413 - Shenandoah (CD 7),575,546,2,1123,0
Precinct,414 - Crenshaw (CD 7),1048,735,3,1786,0
Precinct,415 - Evergreen (CD 7),646,498,2,1146,0
Precinct,416 - Evergreen West (CD 7),457,397,1,855,0
Precinct,417 - Edgewater (CD 7),479,358,0,837,0
Precinct,501 - Huguenot (CD 7),504,579,3,1086,0
Precinct,502 - Crestwood (CD 7),344,360,2,706,0
Precinct,503 - Midlothian (CD 7),855,574,0,1429,0
Precinct,504 - Robious (CD 7),1151,761,2,1914,0
Precinct,505 - Bon Air (CD 7),656,797,2,1455,0
Precinct,506 - Greenfield (CD 7),615,768,3,1386,0
Precinct,507 - Salisbury (CD 7),1251,761,2,2014,0
Precinct,508 - Belgrade (CD 7),593,507,1,1101,0
Precinct,509 - Cranbeck (CD 7),389,517,0,906,0
Precinct,510 - Sycamore (CD 7),796,526,1,1323,0
Precinct,511 - Black Heath (CD 7),670,418,1,1089,0
Precinct,513 - Beaufont (CD 7),192,363,0,555,0
Precinct,514 - Watkins (CD 7),885,599,1,1485,0
Precinct,515 - Davis (CD 7),226,632,2,860,0
Precinct,516 - Pocoshock (CD 7),201,408,2,611,0
Precinct,517 - Roseland (CD 7),755,419,0,1174,0
Precinct,518 - Midlothian North (CD 7),940,522,0,1462,0
Precinct,Ab - Central Absentee Precinct (CD 4),1075,2466,7,3548,0
Precinct,Ab - Central Absentee Precinct (CD 7),3303,8159,19,11481,0
Precinct,Provisional (CD 4),11,21,0,32,0
Precinct,Provisional (CD 7),44,110,0,154,0
Locality,Clarke County,4611,2772,9,7392,0
Precinct,##ev - Central Absentee Precinct,1220,1050,2,2272,0
Precinct,##pe - Central Absentee Precinct,13,11,0,24,0
Precinct,101 - Russell,704,243,1,948,0
Precinct,201 - Berryville,472,272,0,744,0
Precinct,301 - Millwood,451,172,1,624,0
Precinct,302 - Pine Grove,246,114,1,361,0
Precinct,401 - White Post,697,296,0,993,0
Precinct,501 - Buckmarsh,439,195,0,634,0
Precinct,502 - Blue Ridge,219,96,2,317,0
Precinct,Ab - Central Absentee Precinct,147,319,2,468,0
Precinct,Provisional,3,4,0,7,0
Locality,Colonial Heights City,4852,1784,10,6646,0
Precinct,##EV - Central Absentee Precinct,1927,590,2,2519,0
Precinct,##pe - Central Absentee Precinct,3,11,0,14,0
Precinct,1 - First,432,159,2,593,0
Precinct,2 - Second,474,183,2,659,0
Precinct,3 - Third,543,198,1,742,0
Precinct,4 - Fourth,554,229,0,783,0
Precinct,5 - Fifth,712,202,3,917,0
Precinct,Ab - Central Absentee Precinct,207,211,0,418,0
Precinct,Provisional,0,1,0,1,0
Locality,Covington City,1152,628,0,1780,0
Precinct,##pe - Central Absentee Precinct,0,2,0,2,0
Precinct,101 - Precinct 1-1,151,78,0,229,0
Precinct,201 - Precinct 2-1,188,85,0,273,0
Precinct,301 - Precinct 3-1,94,88,0,182,0
Precinct,401 - Precinct 4-1,260,94,0,354,0
Precinct,501 - Precinct 5-1,290,90,0,380,0
Precinct,Ab - Central Absentee Precinct,169,191,0,360,0
Precinct,Provisional,0,0,0,0,0
Precinct,ev - Central Absentee Precinct,0,0,0,0,0
Locality,Craig County,2034,445,8,2487,0
Precinct,##ev - Central Absentee Precinct,369,93,3,465,0
Precinct,##pe - Central Absentee Precinct,0,1,0,1,0
Precinct,101 - Court House,281,44,0,325,0
Precinct,201 - Ammendale Precinct,374,50,2,426,0
Precinct,301 - Givens & Reynolds Store,222,57,0,279,0
Precinct,303 - Marshalls Store,160,38,0,198,0
Precinct,401 - Barbours Creek,142,33,1,176,0
Precinct,402 - Paint Bank,25,9,0,34,0
Precinct,403 - Craig Springs,145,32,0,177,0
Precinct,501 - Craig City,269,43,2,314,0
Precinct,AB - Central Absentee Precinct,47,45,0,92,0
Precinct,Provisional,0,0,0,0,0
Locality,Culpeper County,13346,6773,16,20135,0
Precinct,##ev - Central Absentee Precinct,2519,2044,2,4565,0
Precinct,##pe - Central Absentee Precinct,16,24,0,40,0
Precinct,101 - West Fairfax,888,573,5,1466,0
Precinct,201 - East Fairfax,655,544,0,1199,0
Precinct,302 - Eggbornsville,773,173,0,946,0
Precinct,303 - Cardova,602,147,0,749,0
Precinct,304 - Willow Shade,184,106,0,290,0
Precinct,401 - Eldorado,774,216,0,990,0
Precinct,402 - Browns Store,1140,339,2,1481,0
Precinct,501 - Jeffersonton,1095,339,1,1435,0
Precinct,502 - Rixeyville,991,231,1,1223,0
Precinct,601 - Mitchells,165,55,0,220,0
Precinct,602 - Pearl Sample,834,303,1,1138,0
Precinct,603 - South Ridge,228,140,0,368,0
Precinct,702 - Brandy Station,1064,281,3,1348,0
Precinct,703 - Lignum,524,143,0,667,0
Precinct,704 - Richardsville,365,66,1,432,0
Precinct,Ab - Central Absentee Precinct,517,1037,0,1554,0
Precinct,Provisional,12,12,0,24,0
Locality,Cumberland County,2677,1521,2,4200,0
Precinct,##ev - Central Absentee Precinct,494,437,0,931,0
Precinct,##pe - Central Absentee Precinct,1,2,0,3,0
Precinct,101 - Precinct 1,545,211,0,756,0
Precinct,201 - Precinct 2,455,137,1,593,0
Precinct,301 - Precinct 3,282,206,0,488,0
Precinct,401 - Precinct 4,462,164,0,626,0
Precinct,501 - Precinct 5,366,212,1,579,0
Precinct,Ab - Central Absentee Precinct,72,151,0,223,0
Precinct,Provisional,0,1,0,1,0
Locality,Danville City,5860,6852,9,12721,0
Precinct,##ev - Central Absentee Precinct,1487,1591,1,3079,0
Precinct,##pe - Central Absentee Precinct,10,16,0,26,0
Precinct,1 - Ward One,61,154,0,215,0
Precinct,2 - Ward Two,109,152,0,261,0
Precinct,3 - Ward Three,166,293,0,459,0
Precinct,4 - Ward Four,502,447,1,950,0
Precinct,6 - Ward Six,52,194,0,246,0
Precinct,7 - Ward Seven,91,283,0,374,0
Precinct,8 - Ward Eight,150,249,0,399,0
Precinct,9 - Ward Nine,222,190,0,412,0
Precinct,10 - Ward Ten,283,294,2,579,0
Precinct,11 - Ward Eleven,250,418,2,670,0
Precinct,12 - Ward Twelve,342,426,0,768,0
Precinct,13 - Ward Thirteen,318,379,0,697,0
Precinct,14 - Ward Fourteen,14,75,0,89,0
Precinct,15 - Ward Fifteen,386,312,1,699,0
Precinct,16 - Ward Sixteen,552,325,2,879,0
Precinct,17 - Ward Seventeen,524,181,0,705,0
Precinct,Ab - Central Absentee Precinct,337,854,0,1191,0
Precinct,Provisional,4,19,0,23,0
Locality,Dickenson County,3796,972,2,4770,0
Precinct,##ev - Central Absentee Precinct,850,360,0,1210,0
Precinct,##pe - Central Absentee Precinct,2,4,0,6,0
Precinct,101 - South Clintwood,486,81,0,567,0
Precinct,201 - Nora,218,30,1,249,0
Precinct,202 - Frying Pan,91,14,0,105,0
Precinct,203 - Clinchco,265,58,0,323,0
Precinct,301 - West Dante,152,6,0,158,0
Precinct,302 - Herald,265,22,0,287,0
Precinct,303 - Ridge,186,28,0,214,0
Precinct,304 - Longs Fork,159,17,0,176,0
Precinct,401 - Haysi-colley,482,132,1,615,0
Precinct,501 - Tarpon,128,29,0,157,0
Precinct,502 - North Clintwood,400,74,0,474,0
Precinct,Ab - Central Absentee Precinct,110,114,0,224,0
Precinct,Provisional,2,3,0,5,0
Locality,Dinwiddie County,7288,4225,11,11524,0
Precinct,##ev - Central Absentee Precinct,1856,1341,3,3200,0
Precinct,##pe - Central Absentee Precinct,8,20,0,28,0
Precinct,101 - White Oak,355,65,0,420,0
Precinct,102 - Rocky Run,448,90,0,538,0
Precinct,103 - Church Road,769,97,1,867,0
Precinct,201 - Rohoic,207,222,0,429,0
Precinct,202 - Sutherland,724,319,3,1046,0
Precinct,301 - Reams,325,84,1,410,0
Precinct,302 - New Hope,411,162,0,573,0
Precinct,303 - Little Zion,425,266,0,691,0
Precinct,401 - Dinwiddie,539,207,0,746,0
Precinct,402 - Mckenney,348,151,0,499,0
Precinct,403 - Cherry Hill,216,117,1,334,0
Precinct,501 - Edgehill,46,83,0,129,0
Precinct,502 - Chesdin,422,556,1,979,0
Precinct,Ab - Central Absentee Precinct,188,442,1,631,0
Precinct,Provisional,1,3,0,4,0
Locality,Emporia City,720,1091,3,1814,0
Precinct,##ev - Central Absentee Precinct,146,270,1,417,0
Precinct,##pe - Central Absentee Precinct,1,0,0,1,0
Precinct,101 - Precinct 1-1,68,149,0,217,0
Precinct,201 - Precinct 2-1,11,96,0,107,0
Precinct,301 - Precinct 3-1,119,81,0,200,0
Precinct,401 - Precinct 4-1,129,112,0,241,0
Precinct,501 - Precinct 5-1,5,91,1,97,0
Precinct,601 - District 6,154,69,1,224,0
Precinct,701 - District 7,49,112,0,161,0
Precinct,AB - Central Absentee Precinct,38,110,0,148,0
Precinct,Provisional,0,1,0,1,0
Locality,Essex County,2707,1975,3,4685,0
Precinct,##ev - Central Absentee Precinct,910,779,0,1689,0
Precinct,##pe - Central Absentee Precinct,1,3,0,4,0
Precinct,101 - Greater Tappahannock,320,251,2,573,0
Precinct,201 - North,286,333,0,619,0
Precinct,301 - South,634,224,0,858,0
Precinct,401 - Central,472,214,0,686,0
Precinct,Ab - Central Absentee Precinct,82,169,1,252,0
Precinct,Provisional,2,2,0,4,0
Locality,Fairfax City,3548,6502,13,10063,0
Precinct,##ev - Central Absentee Precinct,1052,2114,3,3169,0
Precinct,##pe - Central Absentee Precinct,14,30,0,44,0
Precinct,1 - One,344,527,1,872,0
Precinct,2 - Two,406,500,2,908,0
Precinct,3 - Three,503,653,1,1157,0
Precinct,4 - Four,343,445,2,790,0
Precinct,5 - Five,304,527,2,833,0
Precinct,6 - Six,366,544,1,911,0
Precinct,Ab - Central Absentee Precinct,208,1142,1,1351,0
Precinct,Provisional,8,20,0,28,0
Locality,Fairfax County,150939,286540,694,438173,0
Precinct,##ev - Central Absentee Precinct (CD 10),10398,15214,23,25635,0
Precinct,##ev - Central Absentee Precinct (CD 11),15740,36310,49,52099,0
Precinct,##ev - Central Absentee Precinct (CD 8),8835,22214,33,31082,0
Precinct,##pe - Central Absentee Precinct (CD 10),480,1166,5,1651,0
Precinct,##pe - Central Absentee Precinct (CD 11),895,3396,5,4296,0
Precinct,##pe - Central Absentee Precinct (CD 8),531,2171,4,2706,0
Precinct,104 - Chapel (CD 11),448,662,5,1115,0
Precinct,105 - Fairview (CD 11),665,998,1,1664,0
Precinct,106 - Heritage (CD 11),458,765,1,1224,0
Precinct,108 - Kings Park (CD 11),470,632,3,1105,0
Precinct,109 - Little Run (CD 11),224,372,2,598,0
Precinct,110 - North Springfield (CD 11),743,966,7,1716,0
Precinct,113 - Canterbury (CD 11),655,1048,8,1711,0
Precinct,114 - Olde Creek (CD 11),373,552,2,927,0
Precinct,115 - Ravensworth (CD 11),390,512,0,902,0
Precinct,116 - Wakefield (CD 11),399,671,3,1073,0
Precinct,117 - Woodson (CD 11),472,642,2,1116,0
Precinct,118 - Lake Braddock (CD 11),572,1019,3,1594,0
Precinct,119 - Laurel (CD 11),731,987,2,1720,0
Precinct,120 - Sideburn (CD 11),641,690,1,1332,0
Precinct,121 - Villa (CD 11),385,465,3,853,0
Precinct,123 - Robinson (CD 11),668,968,1,1637,0
Precinct,125 - Signal Hill (CD 11),535,718,0,1253,0
Precinct,126 - Bonnie Brae (CD 11),379,649,3,1031,0
Precinct,127 - Burke Centre (CD 11),628,1135,2,1765,0
Precinct,128 - Cardinal (CD 11),349,599,2,950,0
Precinct,129 - Keene Mill (CD 11),323,465,2,790,0
Precinct,130 - Terra Centre (CD 11),432,674,1,1107,0
Precinct,131 - Eagle View (CD 11),548,738,2,1288,0
Precinct,132 - Monument (CD 11),409,746,2,1157,0
Precinct,133 - Danbury (CD 11),122,234,0,356,0
Precinct,134 - University (CD 11),61,316,2,379,0
Precinct,201 - Armstrong (CD 11),452,890,1,1343,0
Precinct,202 - Flint Hill (CD 11),568,739,3,1310,0
Precinct,203 - Floris (CD 11),681,923,6,1610,0
Precinct,204 - Madison (CD 11),127,216,0,343,0
Precinct,208 - Reston #1 (CD 11),447,944,2,1393,0
Precinct,209 - Reston #2 (CD 11),361,922,5,1288,0
Precinct,213 - Vienna #1 (CD 11),678,1033,1,1712,0
Precinct,214 - Vienna #2 (CD 11),550,853,2,1405,0
Precinct,216 - Vienna #4 (CD 11),281,392,0,673,0
Precinct,218 - Vienna #6 (CD 11),383,556,3,942,0
Precinct,219 - Westbriar (CD 11),542,820,0,1362,0
Precinct,220 - Dogwood (CD 11),480,940,4,1424,0
Precinct,221 - Hunters Woods (CD 11),407,751,3,1161,0
Precinct,222 - Reston #3 (CD 11),181,631,0,812,0
Precinct,223 - Glade (CD 11),412,1032,2,1446,0
Precinct,224 - South Lakes (CD 11),548,1331,4,1883,0
Precinct,225 - Hughes (CD 11),372,966,3,1341,0
Precinct,226 - Wolftrap (CD 11),690,963,3,1656,0
Precinct,227 - Sunrise Valley (CD 11),316,491,0,807,0
Precinct,229 - Fox Mill (CD 10),790,1078,2,1870,0
Precinct,233 - North Point (CD 11),592,736,2,1330,0
Precinct,234 - Aldrin (CD 11),390,658,1,1049,0
Precinct,235 - Frying Pan (CD 11),393,769,5,1167,0
Precinct,236 - Stuart (CD 11),232,379,2,613,0
Precinct,237 - Mcnair (CD 11),343,791,2,1136,0
Precinct,238 - Cameron Glen (CD 11),401,571,0,972,0
Precinct,240 - Colvin (CD 10),481,512,3,996,0
Precinct,301 - Chain Bridge (CD 10),566,568,3,1137,0
Precinct,302 - Chesterbrook (CD 8),381,530,4,915,0
Precinct,303 - Churchill (CD 10),259,367,1,627,0
Precinct,304 - Cooper (CD 10),375,352,2,729,0
Precinct,305 - El Nido (CD 8),368,574,2,944,0
Precinct,306 - Great Falls (CD 10),433,326,1,760,0
Precinct,307 - Haycock (CD 8),421,665,2,1088,0
Precinct,309 - Kenmore (CD 10),585,610,7,1202,0
Precinct,310 - Kirby (CD 8),328,485,3,816,0
Precinct,311 - Langley (CD 10),386,404,1,791,0
Precinct,312 - Longfellow (CD 8),365,549,0,914,0
Precinct,314 - Mclean (CD 10),323,457,0,780,0
Precinct,315 - Pimmit (CD 8),490,682,6,1178,0
Precinct,316 - Salona #1 (CD 8),160,181,0,341,0
Precinct,317 - Westhampton (CD 8),288,509,0,797,0
Precinct,318 - Westmoreland (CD 8),234,359,1,594,0
Precinct,319 - Herndon #1 (CD 11),573,833,4,1410,0
Precinct,320 - Herndon #2 (CD 11),489,763,3,1255,0
Precinct,321 - Clearview (CD 10),719,1010,4,1733,0
Precinct,322 - Forestville (CD 10),635,482,0,1117,0
Precinct,323 - Shouse (CD 10),412,556,1,969,0
Precinct,324 - Herndon #3 (CD 11),427,712,3,1142,0
Precinct,325 - Hutchison (CD 11),196,535,0,731,0
Precinct,327 - Sugarland (CD 10),633,838,1,1472,0
Precinct,328 - Hickory (CD 10),525,479,2,1006,0
Precinct,329 - Seneca (CD 10),660,602,2,1264,0
Precinct,331 - Spring Hill (CD 10),369,405,1,775,0
Precinct,332 - Coates (CD 11),436,909,1,1346,0
Precinct,333 - Salona #2 (CD 8),276,388,3,667,0
Precinct,401 - Bush Hill (CD 8),575,895,5,1475,0
Precinct,402 - Cameron (CD 8),158,359,2,519,0
Precinct,403 - Forestdale (CD 8),180,341,1,522,0
Precinct,404 - Franconia (CD 8),476,892,0,1368,0
Precinct,405 - Groveton (CD 8),184,464,2,650,0
Precinct,406 - Hayfield (CD 8),497,662,2,1161,0
Precinct,408 - Mount Eagle (CD 8),234,737,1,972,0
Precinct,409 - Pioneer (CD 8),492,823,0,1315,0
Precinct,410 - Rose Hill (CD 8),705,1070,3,1778,0
Precinct,411 - Virginia Hills (CD 8),338,633,4,975,0
Precinct,413 - Fairfield (CD 8),150,560,1,711,0
Precinct,415 - Crestwood (CD 8),471,661,4,1136,0
Precinct,417 - Garfield (CD 8),506,805,2,1313,0
Precinct,418 - Lynbrook (CD 8),298,449,2,749,0
Precinct,419 - Lane #1 (CD 8),131,317,1,449,0
Precinct,420 - Villages (CD 8),583,1103,0,1686,0
Precinct,421 - Kingstowne (CD 8),420,842,3,1265,0
Precinct,422 - Van Dorn (CD 8),421,905,2,1328,0
Precinct,423 - Clermont (CD 8),451,716,0,1167,0
Precinct,424 - Huntley (CD 8),410,736,1,1147,0
Precinct,426 - Greenspring (CD 11),287,661,2,950,0
Precinct,427 - Island Creek (CD 8),386,781,3,1170,0
Precinct,428 - Pinewood (CD 8),195,692,1,888,0
Precinct,429 - Hybla Valley (CD 8),210,728,2,940,0
Precinct,430 - Lane #2 (CD 8),272,591,1,864,0
Precinct,501 - Baileys #1 (CD 8),227,488,0,715,0
Precinct,502 - Barcroft (CD 11),196,364,0,560,0
Precinct,503 - Belvedere (CD 11),206,389,1,596,0
Precinct,504 - Bristow (CD 11),330,569,2,901,0
Precinct,505 - Glen Forest (CD 8),333,680,1,1014,0
Precinct,506 - Holmes #1 (CD 8),64,119,1,184,0
Precinct,507 - Lincolnia (CD 8),340,760,1,1101,0
Precinct,508 - Masonville (CD 11),429,694,2,1125,0
Precinct,509 - Plaza (CD 8),100,394,1,495,0
Precinct,510 - Parklawn (CD 8),308,497,0,805,0
Precinct,511 - Ravenwood (CD 11),341,648,4,993,0
Precinct,512 - Sleepy Hollow (CD 11),243,395,0,638,0
Precinct,513 - Saint Albans (CD 8),20,53,0,73,0
Precinct,513 - Saint Albans (CD 11),328,543,4,875,0
Precinct,514 - Crossroads (CD 8),78,325,0,403,0
Precinct,515 - Westlawn (CD 8),234,395,0,629,0
Precinct,516 - Weyanoke #1 (CD 8),244,323,3,570,0
Precinct,517 - Willston (CD 8),224,353,1,578,0
Precinct,518 - Columbia (CD 11),395,561,2,958,0
Precinct,519 - Hummer (CD 11),319,439,0,758,0
Precinct,520 - Skyline (CD 8),179,531,1,711,0
Precinct,521 - Brook Hill (CD 8),370,461,2,833,0
Precinct,522 - Camelot #1 (CD 11),74,111,0,185,0
Precinct,523 - Poe (CD 8),394,559,2,955,0
Precinct,525 - Walnut Hill (CD 8),479,723,1,1203,0
Precinct,526 - Bren Mar (CD 8),395,930,3,1328,0
Precinct,527 - Edsall (CD 8),369,532,3,904,0
Precinct,528 - Ridgelea (CD 11),263,369,3,635,0
Precinct,530 - Holmes #2 (CD 11),154,441,1,596,0
Precinct,531 - Baileys #2 (CD 8),123,276,0,399,0
Precinct,532 - Weyanoke #2 (CD 8),186,397,3,586,0
Precinct,534 - Camelot #2 (CD 11),235,338,2,575,0
Precinct,601 - Belle Haven (CD 8),383,442,1,826,0
Precinct,602 - Belleview (CD 8),361,523,6,890,0
Precinct,604 - Bucknell (CD 8),319,770,0,1089,0
Precinct,605 - Fort Hunt (CD 8),453,524,3,980,0
Precinct,606 - Hollin Hall (CD 8),459,592,3,1054,0
Precinct,607 - Huntington (CD 8),328,798,2,1128,0
Precinct,608 - Kirkside (CD 8),217,482,1,700,0
Precinct,609 - Marlan (CD 8),386,427,0,813,0
Precinct,610 - Sherwood (CD 8),210,430,2,642,0
Precinct,611 - Stratford (CD 8),488,645,4,1137,0
Precinct,612 - Waynewood (CD 8),254,345,0,599,0
Precinct,613 - Westgate (CD 8),798,651,2,1451,0
Precinct,614 - Riverside (CD 8),385,468,2,855,0
Precinct,615 - Woodley (CD 8),436,626,3,1065,0
Precinct,616 - Gunston (CD 8),659,561,0,1220,0
Precinct,617 - Lorton (CD 8),246,551,0,797,0
Precinct,618 - Newington (CD 11),860,1341,5,2206,0
Precinct,619 - Belvoir (CD 8),456,709,1,1166,0
Precinct,621 - Grosvenor (CD 8),220,569,1,790,0
Precinct,622 - Lorton Station (CD 8),337,909,1,1247,0
Precinct,623 - Alban (CD 8),429,809,1,1239,0
Precinct,626 - Saratoga (CD 8),604,824,4,1432,0
Precinct,627 - Woodlawn (CD 8),386,842,2,1230,0
Precinct,628 - Laurel Hill (CD 11),515,1162,6,1683,0
Precinct,629 - South County (CD 11),602,824,2,1428,0
Precinct,630 - Army (CD 8),132,199,0,331,0
Precinct,701 - Blake (CD 11),525,983,3,1511,0
Precinct,703 - Fort Buffalo (CD 8),239,510,1,750,0
Precinct,704 - Freedom Hill (CD 11),350,604,5,959,0
Precinct,705 - Graham - Greenway (CD 8),448,920,1,1369,0
Precinct,707 - Mantua (CD 11),363,623,1,987,0
Precinct,708 - Marshall (CD 8),481,948,5,1434,0
Precinct,709 - Mosby (CD 11),377,713,3,1093,0
Precinct,710 - Pine Spring (CD 8),269,588,1,858,0
Precinct,711 - Price (CD 11),339,508,3,850,0
Precinct,712 - Shreve (CD 8),234,416,0,650,0
Precinct,713 - Timber Lane (CD 8),346,894,2,1242,0
Precinct,714 - Walker (CD 11),453,762,1,1216,0
Precinct,717 - Woodburn (CD 11),234,522,1,757,0
Precinct,718 - Pine Ridge (CD 11),346,498,2,846,0
Precinct,720 - Thoreau (CD 11),482,764,3,1249,0
Precinct,721 - Merrifield (CD 11),377,954,4,1335,0
Precinct,723 - Gallows East (CD 11),170,418,0,588,0
Precinct,726 - Magarity (CD 8),427,828,2,1257,0
Precinct,727 - Oakton (CD 11),475,569,1,1045,0
Precinct,729 - Nottoway (CD 11),351,607,6,964,0
Precinct,730 - Penderbrook (CD 11),579,934,2,1515,0
Precinct,731 - Tysons (CD 11),393,669,3,1065,0
Precinct,732 - Oak Marr (CD 11),711,721,1,1433,0
Precinct,733 - Kilmer (CD 11),500,965,2,1467,0
Precinct,734 - Hunters Branch (CD 11),205,385,1,591,0
Precinct,735 - Rotonda (CD 11),190,336,2,528,0
Precinct,801 - Burke (CD 11),683,1043,1,1727,0
Precinct,802 - Cedar Lake (CD 11),172,273,1,446,0
Precinct,803 - Clifton (CD 10),1050,687,2,1739,0
Precinct,804 - Colchester (CD 10),445,378,1,824,0
Precinct,805 - Fairfax Station (CD 10),397,398,0,795,0
Precinct,806 - Sydenstricker (CD 11),600,866,2,1468,0
Precinct,807 - Hunt Valley (CD 11),424,559,0,983,0
Precinct,811 - Pohick (CD 11),296,525,1,822,0
Precinct,812 - Valley (CD 11),504,691,2,1197,0
Precinct,815 - Woodyard (CD 10),631,536,1,1168,0
Precinct,824 - Orange (CD 11),737,943,6,1686,0
