,,Justin Edward Fairfax,Jill Holtzman Vogel,Write-Ins,Total Votes Cast,Undervotes
Precinct,215 - North Bird (CD 7),389,153,0,542,0
Precinct,301 - Ettrick (CD 4),1251,301,3,1555,0
Precinct,302 - Deer Run (CD 7),265,392,1,658,0
Precinct,303 - Matoaca (CD 4),971,897,2,1870,0
Precinct,304 - Winfrees Store (CD 4),499,1394,2,1895,0
Precinct,305 - Beach (CD 4),142,551,2,695,0
Precinct,306 - Winterpock (CD 7),483,1442,1,1926,0
Precinct,307 - Cosby (CD 7),935,1093,3,2031,0
Precinct,308 - South Manchester (CD 7),297,227,1,525,0
Precinct,309 - Skinquarter (CD 7),984,1733,1,2718,0
Precinct,310 - Tomahawk (CD 7),738,1003,3,1744,0
Precinct,313 - Woolridge (CD 7),990,1324,3,2317,0
Precinct,315 - Bailey Bridge (CD 7),551,1230,0,1781,0
Precinct,316 - Spring Run (CD 7),642,829,0,1471,0
Precinct,317 - Birkdale (CD 7),880,1261,2,2143,0
Precinct,318 - West Beach (CD 7),240,328,1,569,0
Precinct,401 - Harbour Pointe (CD 7),486,630,0,1116,0
Precinct,402 - Genito (CD 7),1255,1139,1,2395,0
Precinct,403 - Brandermill (CD 7),838,975,5,1818,0
Precinct,404 - Providence (CD 7),854,676,3,1533,0
Precinct,405 - La Prade (CD 7),842,929,1,1772,0
Precinct,406 - Smoketree (CD 7),670,949,1,1620,0
Precinct,407 - Monacan (CD 7),439,580,1,1020,0
Precinct,408 - Reams (CD 7),1285,750,2,2037,0
Precinct,409 - Manchester (CD 7),510,410,2,922,0
Precinct,410 - Wagstaff (CD 7),481,479,1,961,0
Precinct,411 - Swift Creek (CD 7),793,922,0,1715,0
Precinct,413 - Shenandoah (CD 7),777,661,1,1439,0
Precinct,414 - Crenshaw (CD 7),1006,1023,1,2030,0
Precinct,415 - Evergreen (CD 7),805,901,2,1708,0
Precinct,416 - Evergreen West (CD 7),403,401,0,804,0
Precinct,417 - Edgewater (CD 7),397,413,0,810,0
Precinct,501 - Huguenot (CD 7),685,544,1,1230,0
Precinct,502 - Crestwood (CD 7),499,505,2,1006,0
Precinct,503 - Midlothian (CD 7),728,945,1,1674,0
Precinct,504 - Robious (CD 7),1149,1564,0,2713,0
Precinct,505 - Bon Air (CD 7),1022,945,3,1970,0
Precinct,506 - Greenfield (CD 7),926,775,1,1702,0
Precinct,507 - Salisbury (CD 7),915,1543,5,2463,0
Precinct,508 - Belgrade (CD 7),756,820,1,1577,0
Precinct,509 - Cranbeck (CD 7),622,438,1,1061,0
Precinct,510 - Sycamore (CD 7),776,1076,2,1854,0
Precinct,511 - Black Heath (CD 7),507,785,0,1292,0
Precinct,513 - Beaufont (CD 7),500,176,1,677,0
Precinct,514 - Watkins (CD 7),868,1197,1,2066,0
Precinct,515 - Davis (CD 7),1001,233,0,1234,0
Precinct,516 - Pocoshock (CD 7),660,191,2,853,0
Precinct,517 - Roseland (CD 7),265,443,1,709,0
Precinct,518 - Midlothian North (CD 7),739,1276,1,2016,0
Precinct,Ab - Central Absentee Precinct (CD 4),881,1164,1,2046,0
Precinct,Ab - Central Absentee Precinct (CD 7),2179,2219,1,4399,0
Precinct,Provisional (CD 4),14,9,0,23,0
Precinct,Provisional (CD 7),331,112,1,444,0
Locality,Clarke County,2247,3290,7,5544,0
Precinct,101 - Russell,344,712,0,1056,0
Precinct,201 - Berryville,417,499,2,918,0
Precinct,301 - Millwood,321,457,0,778,0
Precinct,302 - Pine Grove,128,215,1,344,0
Precinct,401 - White Post,421,590,1,1012,0
Precinct,501 - Buckmarsh,288,441,1,730,0
Precinct,502 - Blue Ridge,124,153,1,278,0
Precinct,Ab - Central Absentee Precinct,203,220,1,424,0
Precinct,Provisional,1,3,0,4,0
Locality,Colonial Heights City,1310,3816,2,5128,0
Precinct,1 - First,223,404,1,628,0
Precinct,2 - Second,191,549,0,740,0
Precinct,3 - Third,261,665,1,927,0
Precinct,4 - Fourth,315,790,0,1105,0
Precinct,5 - Fifth,228,1000,0,1228,0
Precinct,Ab - Central Absentee Precinct,92,407,0,499,0
Precinct,Provisional,0,1,0,1,0
Locality,Covington City,492,845,1,1338,0
Precinct,101 - Precinct 1-1,70,126,0,196,0
Precinct,201 - Precinct 2-1,99,145,0,244,0
Precinct,301 - Precinct 3-1,115,89,0,204,0
Precinct,401 - Precinct 4-1,97,251,1,349,0
Precinct,501 - Precinct 5-1,81,213,0,294,0
Precinct,Ab - Central Absentee Precinct,30,21,0,51,0
Precinct,Provisional,0,0,0,0,0
Locality,Craig County,390,1438,1,1829,0
Precinct,101 - Court House,57,265,0,322,0
Precinct,201 - Ammendale Precinct,65,329,0,394,0
Precinct,301 - Givens & Reynolds Store,74,161,0,235,0
Precinct,303 - Marshalls Store,68,125,0,193,0
Precinct,401 - Barbours Creek,32,126,0,158,0
Precinct,402 - Paint Bank,9,27,0,36,0
Precinct,403 - Craig Springs,37,139,1,177,0
Precinct,501 - Craig City,48,266,0,314,0
Precinct,Provisional,0,0,0,0,0
Locality,Culpeper County,4842,8660,16,13518,0
Precinct,101 - West Fairfax,759,768,1,1528,0
Precinct,201 - East Fairfax,656,554,1,1211,0
Precinct,302 - Eggbornsville,224,577,0,801,0
Precinct,303 - Cardova,165,425,1,591,0
Precinct,304 - Willow Shade,133,148,0,281,0
Precinct,401 - Eldorado,256,544,1,801,0
Precinct,402 - Browns Store,479,966,2,1447,0
Precinct,501 - Jeffersonton,356,849,1,1206,0
Precinct,502 - Rixeyville,339,807,2,1148,0
Precinct,601 - Mitchells,50,147,0,197,0
Precinct,602 - Pearl Sample,424,778,3,1205,0
Precinct,603 - South Ridge,155,198,1,354,0
Precinct,702 - Brandy Station,310,764,2,1076,0
Precinct,703 - Lignum,153,420,0,573,0
Precinct,704 - Richardsville,66,250,0,316,0
Precinct,Ab - Central Absentee Precinct,312,458,1,771,0
Precinct,Provisional,5,7,0,12,0
Locality,Cumberland County,1279,1839,2,3120,0
Precinct,101 - Precinct 1,262,412,1,675,0
Precinct,201 - Precinct 2,198,422,0,620,0
Precinct,301 - Precinct 3,329,234,0,563,0
Precinct,401 - Precinct 4,178,383,1,562,0
Precinct,501 - Precinct 5,260,308,0,568,0
Precinct,Ab - Central Absentee Precinct,50,79,0,129,0
Precinct,Provisional,2,1,0,3,0
Locality,Danville City,6095,4808,8,10911,0
Precinct,1 - Ward One,209,36,1,246,0
Precinct,2 - Ward Two,202,127,0,329,0
Precinct,3 - Ward Three,447,206,1,654,0
Precinct,4 - Ward Four,572,599,1,1172,0
Precinct,6 - Ward Six,244,35,0,279,0
Precinct,7 - Ward Seven,441,79,1,521,0
Precinct,8 - Ward Eight,324,178,0,502,0
Precinct,9 - Ward Nine,264,203,0,467,0
Precinct,10 - Ward Ten,339,312,1,652,0
Precinct,11 - Ward Eleven,637,323,0,960,0
Precinct,12 - Ward Twelve,625,463,0,1088,0
Precinct,13 - Ward Thirteen,513,341,0,854,0
Precinct,14 - Ward Fourteen,119,3,0,122,0
Precinct,15 - Ward Fifteen,366,402,1,769,0
Precinct,16 - Ward Sixteen,351,577,1,929,0
Precinct,17 - Ward Seventeen,221,632,0,853,0
Precinct,Ab - Central Absentee Precinct,220,291,1,512,0
Precinct,Provisional,1,1,0,2,0
Locality,Dickenson County,995,2400,3,3398,0
Precinct,101 - South Clintwood,193,477,2,672,0
Precinct,201 - Nora,55,164,1,220,0
Precinct,202 - Frying Pan,20,76,0,96,0
Precinct,203 - Clinchco,82,166,0,248,0
Precinct,301 - West Dante,15,112,0,127,0
Precinct,302 - Herald,31,179,0,210,0
Precinct,303 - Ridge,67,285,0,352,0
Precinct,401 - Haysi-colley,192,301,0,493,0
Precinct,501 - Tarpon,57,104,0,161,0
Precinct,502 - North Clintwood,137,365,0,502,0
Precinct,Ab - Central Absentee Precinct,145,171,0,316,0
Precinct,Provisional,1,0,0,1,0
Locality,Dinwiddie County,3648,4655,5,8308,0
Precinct,101 - White Oak,82,253,0,335,0
Precinct,102 - Rocky Run,138,371,1,510,0
Precinct,103 - Church Road,164,646,0,810,0
Precinct,201 - Rohoic,245,161,1,407,0
Precinct,202 - Sutherland,445,686,0,1131,0
Precinct,301 - Reams,106,211,0,317,0
Precinct,302 - New Hope,207,379,0,586,0
Precinct,303 - Little Zion,450,350,0,800,0
Precinct,401 - Dinwiddie,330,490,1,821,0
Precinct,402 - Mckenney,189,248,1,438,0
Precinct,403 - Cherry Hill,182,162,0,344,0
Precinct,501 - Edgehill,94,39,0,133,0
Precinct,502 - Chesdin,762,344,1,1107,0
Precinct,Ab - Central Absentee Precinct,254,315,0,569,0
Precinct,Provisional,0,0,0,0,0
Locality,Emporia City,918,693,2,1613,0
Precinct,101 - Precinct 1-1,161,85,0,246,0
Precinct,201 - Precinct 2-1,144,8,0,152,0
Precinct,301 - Precinct 3-1,95,139,0,234,0
Precinct,401 - Precinct 4-1,125,162,2,289,0
Precinct,501 - Precinct 5-1,127,4,0,131,0
Precinct,601 - District 6,119,187,0,306,0
Precinct,701 - District 7,112,60,0,172,0
Precinct,AB - Central Absentee Precinct,35,48,0,83,0
Precinct,Provisional,0,0,0,0,0
Locality,Essex County,1681,2008,3,3692,0
Precinct,101 - Greater Tappahannock,344,416,2,762,0
Precinct,201 - North,486,312,0,798,0
Precinct,301 - South,329,616,0,945,0
Precinct,401 - Central,376,514,0,890,0
Precinct,Ab - Central Absentee Precinct,146,149,1,296,0
Precinct,Provisional,0,1,0,1,0
Locality,Fairfax City,5340,2894,7,8241,0
Precinct,1 - One,703,368,3,1074,0
Precinct,2 - Two,708,461,2,1171,0
Precinct,3 - Three,1002,571,0,1573,0
Precinct,4 - Four,907,488,0,1395,0
Precinct,5 - Five,731,363,0,1094,0
Precinct,6 - Six,688,353,1,1042,0
Precinct,Ab - Central Absentee Precinct,594,289,1,884,0
Precinct,Provisional,7,1,0,8,0
Locality,Fairfax County,251388,122021,424,373833,0
Precinct,104 - Chapel (CD 11),822,543,1,1366,0
Precinct,105 - Fairview (CD 11),1537,832,1,2370,0
Precinct,106 - Heritage (CD 11),1065,329,1,1395,0
Precinct,108 - Kings Park (CD 11),796,471,2,1269,0
Precinct,109 - Little Run (CD 11),510,279,0,789,0
Precinct,110 - North Springfield (CD 11),1271,613,2,1886,0
Precinct,113 - Canterbury (CD 11),1382,751,5,2138,0
Precinct,114 - Olde Creek (CD 11),632,397,1,1030,0
Precinct,115 - Ravensworth (CD 11),508,375,0,883,0
Precinct,116 - Wakefield (CD 11),890,433,2,1325,0
Precinct,117 - Woodson (CD 11),886,522,2,1410,0
Precinct,118 - Lake Braddock (CD 11),1326,570,2,1898,0
Precinct,119 - Laurel (CD 11),1347,754,0,2101,0
Precinct,120 - Sideburn (CD 11),973,744,5,1722,0
Precinct,121 - Villa (CD 11),611,356,1,968,0
Precinct,123 - Robinson (CD 11),1265,771,2,2038,0
Precinct,125 - Signal Hill (CD 11),1021,594,3,1618,0
Precinct,126 - Bonnie Brae (CD 11),844,373,3,1220,0
Precinct,127 - Burke Centre (CD 11),1447,681,2,2130,0
Precinct,128 - Cardinal (CD 11),755,363,1,1119,0
Precinct,129 - Keene Mill (CD 11),604,324,0,928,0
Precinct,130 - Terra Centre (CD 11),768,461,0,1229,0
Precinct,131 - Eagle View (CD 11),999,494,3,1496,0
Precinct,132 - Monument (CD 11),1180,416,2,1598,0
Precinct,133 - Danbury (CD 11),243,118,0,361,0
Precinct,134 - University (CD 11),1103,182,0,1285,0
Precinct,201 - Armstrong (CD 11),1277,564,0,1841,0
Precinct,202 - Flint Hill (CD 11),997,665,3,1665,0
Precinct,203 - Floris (CD 11),1251,712,0,1963,0
Precinct,204 - Madison (CD 11),273,112,0,385,0
Precinct,208 - Reston #1 (CD 11),1246,368,1,1615,0
Precinct,209 - Reston #2 (CD 11),1276,297,6,1579,0
Precinct,213 - Vienna #1 (CD 11),1401,722,1,2124,0
Precinct,214 - Vienna #2 (CD 11),1093,575,4,1672,0
Precinct,216 - Vienna #4 (CD 11),576,239,1,816,0
Precinct,218 - Vienna #6 (CD 11),809,333,1,1143,0
Precinct,219 - Westbriar (CD 11),1214,638,0,1852,0
Precinct,220 - Dogwood (CD 11),1430,449,1,1880,0
Precinct,221 - Hunters Woods (CD 11),1104,494,1,1599,0
Precinct,222 - Reston #3 (CD 11),1003,203,3,1209,0
Precinct,223 - Glade (CD 11),1548,471,3,2022,0
Precinct,224 - South Lakes (CD 11),1878,541,3,2422,0
Precinct,225 - Hughes (CD 11),1419,337,3,1759,0
Precinct,226 - Wolftrap (CD 11),1231,764,1,1996,0
Precinct,227 - Sunrise Valley (CD 11),650,329,1,980,0
Precinct,229 - Fox Mill (CD 10),1547,947,5,2499,0
Precinct,233 - North Point (CD 11),1126,632,3,1761,0
Precinct,234 - Aldrin (CD 11),1068,448,2,1518,0
Precinct,235 - Frying Pan (CD 11),1022,309,3,1334,0
Precinct,236 - Stuart (CD 11),506,234,1,741,0
Precinct,237 - Mcnair (CD 11),1041,298,1,1340,0
Precinct,238 - Cameron Glen (CD 11),1031,462,2,1495,0
Precinct,240 - Colvin (CD 10),727,524,3,1254,0
Precinct,301 - Chain Bridge (CD 10),912,666,3,1581,0
Precinct,302 - Chesterbrook (CD 8),895,533,3,1431,0
Precinct,303 - Churchill (CD 10),461,307,0,768,0
Precinct,304 - Cooper (CD 10),566,424,0,990,0
Precinct,305 - El Nido (CD 8),787,389,0,1176,0
Precinct,306 - Great Falls (CD 10),558,521,0,1079,0
Precinct,307 - Haycock (CD 8),908,432,2,1342,0
Precinct,309 - Kenmore (CD 10),1012,718,2,1732,0
Precinct,310 - Kirby (CD 8),737,321,0,1058,0
Precinct,311 - Langley (CD 10),579,465,4,1048,0
Precinct,312 - Longfellow (CD 8),872,400,2,1274,0
Precinct,314 - Mclean (CD 10),752,439,0,1191,0
Precinct,315 - Pimmit (CD 8),1069,482,3,1554,0
Precinct,316 - Salona #1 (CD 8),288,206,2,496,0
Precinct,317 - Westhampton (CD 8),833,383,1,1217,0
Precinct,318 - Westmoreland (CD 8),526,258,0,784,0
Precinct,319 - Herndon #1 (CD 11),1303,646,6,1955,0
Precinct,320 - Herndon #2 (CD 11),1347,509,6,1862,0
Precinct,321 - Clearview (CD 10),1277,736,3,2016,0
Precinct,322 - Forestville (CD 10),740,747,1,1488,0
Precinct,323 - Shouse (CD 10),724,479,1,1204,0
Precinct,324 - Herndon #3 (CD 11),1097,412,3,1512,0
Precinct,325 - Hutchison (CD 11),791,163,1,955,0
Precinct,327 - Sugarland (CD 10),1124,675,1,1800,0
Precinct,328 - Hickory (CD 10),885,683,3,1571,0
Precinct,329 - Seneca (CD 10),943,767,0,1710,0
Precinct,331 - Spring Hill (CD 10),665,472,0,1137,0
Precinct,332 - Coates (CD 11),1019,267,2,1288,0
Precinct,333 - Salona #2 (CD 8),561,341,2,904,0
Precinct,401 - Bush Hill (CD 8),1123,606,2,1731,0
Precinct,402 - Cameron (CD 8),416,161,1,578,0
Precinct,403 - Forestdale (CD 8),466,173,1,640,0
Precinct,404 - Franconia (CD 8),1206,407,2,1615,0
Precinct,405 - Groveton (CD 8),658,187,3,848,0
Precinct,406 - Hayfield (CD 8),764,551,4,1319,0
Precinct,408 - Mount Eagle (CD 8),939,257,2,1198,0
Precinct,409 - Pioneer (CD 8),1206,401,2,1609,0
Precinct,410 - Rose Hill (CD 8),1358,701,2,2061,0
Precinct,411 - Virginia Hills (CD 8),790,313,0,1103,0
Precinct,413 - Fairfield (CD 8),778,105,0,883,0
Precinct,415 - Crestwood (CD 8),812,374,3,1189,0
Precinct,417 - Garfield (CD 8),1079,458,0,1537,0
Precinct,418 - Lynbrook (CD 8),654,216,1,871,0
Precinct,419 - Lane (CD 8),1234,373,2,1609,0
Precinct,420 - Villages (CD 8),1382,540,2,1924,0
Precinct,421 - Kingstowne (CD 8),1189,414,2,1605,0
Precinct,422 - Van Dorn (CD 8),1223,454,1,1678,0
Precinct,423 - Clermont (CD 8),945,455,2,1402,0
Precinct,424 - Huntley (CD 8),973,441,1,1415,0
Precinct,426 - Greenspring (CD 11),742,428,1,1171,0
Precinct,427 - Island Creek (CD 8),919,361,3,1283,0
Precinct,428 - Pinewood (CD 8),1081,199,0,1280,0
Precinct,429 - Hybla Valley (CD 8),1060,185,1,1246,0
Precinct,501 - Baileys (CD 8),1212,340,2,1554,0
Precinct,502 - Barcroft (CD 11),550,249,0,799,0
Precinct,503 - Belvedere (CD 11),637,241,1,879,0
Precinct,504 - Bristow (CD 11),791,276,1,1068,0
Precinct,505 - Glen Forest (CD 8),977,284,2,1263,0
Precinct,506 - Holmes #1 (CD 8),176,39,0,215,0
Precinct,507 - Lincolnia (CD 8),1150,350,0,1500,0
Precinct,508 - Masonville (CD 11),1000,405,4,1409,0
Precinct,509 - Plaza (CD 8),409,72,2,483,0
Precinct,510 - Parklawn (CD 8),766,304,1,1071,0
Precinct,511 - Ravenwood (CD 11),940,387,1,1328,0
Precinct,512 - Sleepy Hollow (CD 11),548,251,0,799,0
Precinct,513 - Saint Albans (CD 8),319,144,0,463,0
Precinct,513 - Saint Albans (CD 11),593,246,2,841,0
Precinct,514 - Crossroads (CD 8),502,90,0,592,0
Precinct,515 - Westlawn (CD 8),612,186,0,798,0
Precinct,516 - Weyanoke (CD 8),1065,313,3,1381,0
Precinct,517 - Willston (CD 8),578,161,0,739,0
Precinct,518 - Columbia (CD 11),839,370,2,1211,0
Precinct,519 - Hummer (CD 11),565,284,0,849,0
Precinct,520 - Skyline (CD 8),826,180,3,1009,0
Precinct,521 - Brook Hill (CD 8),676,330,2,1008,0
Precinct,522 - Camelot (CD 11),520,310,2,832,0
Precinct,523 - Poe (CD 8),863,377,1,1241,0
Precinct,525 - Walnut Hill (CD 8),1082,451,0,1533,0
Precinct,526 - Bren Mar (CD 8),1214,338,1,1553,0
Precinct,527 - Edsall (CD 8),678,269,4,951,0
Precinct,528 - Ridgelea (CD 11),456,242,1,699,0
Precinct,530 - Holmes #2 (CD 11),671,157,1,829,0
Precinct,601 - Belle Haven (CD 8),661,473,2,1136,0
Precinct,602 - Belleview (CD 8),830,389,1,1220,0
Precinct,604 - Bucknell (CD 8),1190,336,2,1528,0
Precinct,605 - Fort Hunt (CD 8),784,564,1,1349,0
Precinct,606 - Hollin Hall (CD 8),955,550,4,1509,0
Precinct,607 - Huntington (CD 8),1366,442,1,1809,0
Precinct,608 - Kirkside (CD 8),803,323,0,1126,0
Precinct,609 - Marlan (CD 8),727,506,0,1233,0
Precinct,610 - Sherwood (CD 8),723,279,0,1002,0
Precinct,611 - Stratford (CD 8),963,634,3,1600,0
Precinct,612 - Waynewood (CD 8),464,327,0,791,0
Precinct,613 - Westgate (CD 8),907,1001,5,1913,0
Precinct,614 - Riverside (CD 8),664,510,4,1178,0
Precinct,615 - Woodley (CD 8),868,544,3,1415,0
Precinct,616 - Gunston (CD 8),657,565,2,1224,0
Precinct,617 - Lorton (CD 8),763,166,0,929,0
Precinct,618 - Newington (CD 11),1608,808,1,2417,0
Precinct,619 - Belvoir (CD 8),1065,554,1,1620,0
Precinct,621 - Grosvenor (CD 8),763,217,3,983,0
Precinct,622 - Lorton Station (CD 8),1189,303,0,1492,0
Precinct,623 - Alban (CD 8),992,380,2,1374,0
Precinct,626 - Saratoga (CD 8),1133,604,3,1740,0
Precinct,627 - Woodlawn (CD 8),1222,370,0,1592,0
Precinct,628 - Laurel Hill (CD 11),1334,414,1,1749,0
Precinct,629 - South County (CD 11),860,627,0,1487,0
Precinct,630- Army (CD 8),239,138,0,377,0
Precinct,701 - Blake (CD 11),1497,562,2,2061,0
Precinct,703 - Fort Buffalo (CD 8),698,190,3,891,0
Precinct,704 - Freedom Hill (CD 11),793,334,2,1129,0
Precinct,705 - Graham - Greenway (CD 8),1327,433,1,1761,0
Precinct,707 - Mantua (CD 11),803,425,0,1228,0
Precinct,708 - Marshall (CD 8),1762,505,5,2272,0
Precinct,709 - Mosby (CD 11),1078,354,2,1434,0
Precinct,710 - Pine Spring (CD 8),821,289,2,1112,0
Precinct,711 - Price (CD 11),748,363,1,1112,0
Precinct,712 - Shreve (CD 8),606,261,0,867,0
Precinct,713 - Timber Lane (CD 8),1143,341,1,1485,0
Precinct,714 - Walker (CD 11),1089,418,0,1507,0
Precinct,717 - Woodburn (CD 11),691,249,2,942,0
Precinct,718 - Pine Ridge (CD 11),770,324,1,1095,0
Precinct,720 - Thoreau (CD 11),1115,496,5,1616,0
Precinct,721 - Merrifield (CD 11),1267,348,4,1619,0
Precinct,723 - Gallows East (CD 11),602,182,1,785,0
Precinct,726 - Magarity (CD 8),1185,431,1,1617,0
Precinct,727 - Oakton (CD 11),775,549,0,1324,0
Precinct,729 - Nottoway (CD 11),1242,491,3,1736,0
Precinct,730 - Penderbrook (CD 11),1068,547,0,1615,0
Precinct,731 - Tysons (CD 11),747,251,4,1002,0
Precinct,732 - Oak Marr (CD 11),1091,717,0,1808,0
Precinct,733 - Kilmer (CD 11),1419,525,2,1946,0
Precinct,734 - Hunters Branch (CD 11),750,244,3,997,0
Precinct,735 - Rotonda (CD 11),432,176,3,611,0
Precinct,801 - Burke (CD 11),1504,693,10,2207,0
Precinct,802 - Cedar Lake (CD 11),371,140,0,511,0
Precinct,803 - Clifton (CD 10),986,1200,1,2187,0
Precinct,804 - Colchester (CD 10),498,498,1,997,0
Precinct,805 - Fairfax Station (CD 10),438,442,0,880,0
Precinct,806 - Sydenstricker (CD 11),1061,670,1,1732,0
Precinct,807 - Hunt Valley (CD 11),680,474,3,1157,0
Precinct,811 - Pohick (CD 11),726,263,0,989,0
Precinct,812 - Valley (CD 11),934,534,1,1469,0
Precinct,815 - Woodyard (CD 10),662,768,0,1430,0
Precinct,824 - Orange (CD 11),1303,815,2,2120,0
Precinct,825 - Cherry Run (CD 11),896,600,3,1499,0
Precinct,827 - Irving (CD 11),932,539,0,1471,0
Precinct,833 - White Oaks (CD 11),931,449,7,1387,0
Precinct,838 - Sangster (CD 10),646,562,2,1210,0
Precinct,839 - Silverbrook (CD 10),967,840,3,1810,0
Precinct,840 - West Springfield (CD 11),982,580,3,1565,0
Precinct,841 - Popes Head (CD 10),444,455,2,901,0
Precinct,842 - Parkway (CD 11),679,562,1,1242,0
Precinct,843 - Fair Lakes (CD 11),1072,486,1,1559,0
Precinct,844 - Centerpointe (CD 11),841,285,1,1127,0
Precinct,845 - Fountainhead (CD 10),993,1046,2,2041,0
Precinct,846 - Greenbriar East (CD 11),1093,487,2,1582,0
Precinct,847 - Greenbriar West (CD 10),730,427,1,1158,0
Precinct,848 - Fair Oaks (CD 11),917,399,0,1316,0
Precinct,849 - Newgate (CD 10),1307,1238,3,2548,0
Precinct,850 - South Run (CD 10),831,692,1,1524,0
Precinct,851 - Willow Springs (CD 11),762,547,1,1310,0
Precinct,901 - Centre Ridge (CD 11),942,395,0,1337,0
Precinct,902 - Brookfield (CD 10),1235,550,2,1787,0
Precinct,903 - Cub Run (CD 10),1120,755,1,1876,0
Precinct,904 - Stonecroft (CD 10),391,325,0,716,0
Precinct,905 - Franklin (CD 10),328,196,0,524,0
Precinct,908 - Hidden Meadow (CD 10),743,505,1,1249,0
Precinct,909 - Oak Hill (CD 10),763,434,0,1197,0
Precinct,910 - London Towne (CD 11),1147,463,4,1614,0
Precinct,911 - Navy (CD 10),1104,627,0,1731,0
Precinct,913 - Rocky Run (CD 10),1183,867,2,2052,0
Precinct,914 - Vale (CD 10),756,524,1,1281,0
Precinct,915 - Virginia Run (CD 10),648,758,0,1406,0
Precinct,916 - Waples Mill (CD 10),1326,994,2,2322,0
Precinct,917 - Stone North (CD 10),635,337,2,974,0
Precinct,918 - Centreville (CD 11),1359,549,5,1913,0
Precinct,919 - Green Trails (CD 11),1262,563,1,1826,0
Precinct,920 - Chantilly (CD 10),887,458,2,1347,0
Precinct,921 - Deer Park (CD 10),896,768,2,1666,0
Precinct,923 - Bull Run (CD 10),516,636,0,1152,0
Precinct,924 - Spindle (CD 11),627,209,1,837,0
Precinct,925 - Old Mill (CD 10),528,321,1,850,0
Precinct,926 - Powell (CD 11),1259,524,1,1784,0
Precinct,927 - Armfield (CD 10),571,297,0,868,0
Precinct,928 - Poplar Tree (CD 10),878,600,1,1479,0
Precinct,929 - Difficult Run (CD 10),197,190,0,387,0
Precinct,930 - Lees Corner (CD 10),724,441,0,1165,0
Precinct,931 - Carson (CD 10),805,373,1,1179,0
Precinct,932 - Stone South (CD 10),493,180,1,674,0
Precinct,933 - Compton (CD 11),219,132,0,351,0
Precinct,Ab - Central Absentee Precinct (CD 10),6654,4111,8,10773,0
Precinct,Ab - Central Absentee Precinct (CD 11),15170,5926,18,21114,0
Precinct,Ab - Central Absentee Precinct (CD 8),9355,3538,9,12902,0
Precinct,Provisional (CD 10),54,20,0,74,0
Precinct,Provisional (CD 11),137,50,0,187,0
Precinct,Provisional (CD 8),69,25,0,94,0
Locality,Falls Church City,4661,1333,5,5999,0
Precinct,1 - First Ward,1266,388,0,1654,0
Precinct,2 - Second Ward,958,313,2,1273,0
Precinct,3 - Third Ward,1360,454,0,1814,0
Precinct,Ab - Central Absentee Precinct,1066,175,3,1244,0
Precinct,Provisional,11,3,0,14,0
Locality,Fauquier County,8962,15033,31,24026,0
Precinct,101 - Kettle Run (CD 5),164,460,2,626,0
Precinct,102 - Catlett (CD 1),328,966,1,1295,0
Precinct,103 - Casanova (CD 5),241,363,2,606,0
Precinct,104 - Lois (CD 1),181,414,1,596,0
Precinct,105 - Opal (CD 5),148,414,0,562,0
Precinct,106 - Baldwin Ridge (CD 5),282,485,1,768,0
Precinct,201 - Courthouse (CD 5),668,825,2,1495,0
Precinct,202 - Airlie (CD 5),513,744,3,1260,0
Precinct,203 - Warrenton (CD 5),643,737,1,1381,0
Precinct,301 - Morrisville (CD 1),212,609,0,821,0
Precinct,302 - Remington (CD 5),423,785,1,1209,0
Precinct,303 - Bealeton (CD 1),539,814,3,1356,0
Precinct,401 - Marshall (CD 5),498,786,0,1284,0
Precinct,402 - Leeds (CD 5),560,712,1,1273,0
Precinct,403 - Waterloo (CD 5),506,1038,2,1546,0
Precinct,404 - Springs Valley (CD 5),236,459,4,699,0
Precinct,501 - The Plains (CD 5),532,620,1,1153,0
Precinct,502 - New Baltimore (CD 5),421,812,1,1234,0
Precinct,503 - Broad Run (CD 5),416,762,1,1179,0
Precinct,504 - Vint Hill (CD 5),685,1256,2,1943,0
Precinct,Ab - Central Absentee Precinct (CD 1),67,138,1,206,0
Precinct,Ab - Central Absentee Precinct (CD 5),686,828,1,1515,0
Precinct,Provisional (CD 1),2,0,0,2,0
Precinct,Provisional (CD 5),11,6,0,17,0
Locality,Floyd County,1820,3623,5,5448,0
Precinct,101 - Locust Grove,293,698,1,992,0
Precinct,201 - Little River,429,734,1,1164,0
Precinct,301 - Courthouse,377,579,0,956,0
Precinct,401 - Burks Fork,265,674,0,939,0
Precinct,501 - Indian Valley,245,708,2,955,0
Precinct,Ab - Central Absentee Precinct,211,229,1,441,0
Precinct,Provisional,0,1,0,1,0
Locality,Fluvanna County,4143,5004,9,9156,0
Precinct,101 - Palmyra,883,955,0,1838,0
Precinct,201 - Columbia,588,747,4,1339,0
Precinct,301 - Fork Union,607,710,2,1319,0
Precinct,401 - Cunningham,660,1121,2,1783,0
Precinct,501 - Rivanna,1010,1071,1,2082,0
Precinct,Ab - Central Absentee Precinct,393,398,0,791,0
Precinct,Provisional,2,2,0,4,0
Locality,Franklin City,1480,1068,1,2549,0
Precinct,101 - Precinct 1-1,182,421,0,603,0
Precinct,201 - Precinct 2-1,188,278,1,467,0
Precinct,301 - Precinct 3-1,334,27,0,361,0
Precinct,401 - Precinct 4-1,236,27,0,263,0
Precinct,501 - Precinct 5-1,255,9,0,264,0
