,,Mark Rankin Herring,John Donley Adams,Write-Ins,Total Votes Cast,Undervotes
Precinct,215 - North Bird (CD 7),389,151,0,540,0
Precinct,301 - Ettrick (CD 4),1246,305,1,1552,0
Precinct,302 - Deer Run (CD 7),264,393,0,657,0
Precinct,303 - Matoaca (CD 4),970,902,2,1874,0
Precinct,304 - Winfrees Store (CD 4),513,1381,2,1896,0
Precinct,305 - Beach (CD 4),150,544,1,695,0
Precinct,306 - Winterpock (CD 7),482,1441,3,1926,0
Precinct,307 - Cosby (CD 7),931,1094,1,2026,0
Precinct,308 - South Manchester (CD 7),303,222,1,526,0
Precinct,309 - Skinquarter (CD 7),975,1735,1,2711,0
Precinct,310 - Tomahawk (CD 7),730,1004,5,1739,0
Precinct,313 - Woolridge (CD 7),983,1324,3,2310,0
Precinct,315 - Bailey Bridge (CD 7),557,1222,0,1779,0
Precinct,316 - Spring Run (CD 7),636,834,0,1470,0
Precinct,317 - Birkdale (CD 7),876,1265,3,2144,0
Precinct,318 - West Beach (CD 7),237,334,1,572,0
Precinct,401 - Harbour Pointe (CD 7),493,622,0,1115,0
Precinct,402 - Genito (CD 7),1251,1137,3,2391,0
Precinct,403 - Brandermill (CD 7),848,970,2,1820,0
Precinct,404 - Providence (CD 7),857,675,2,1534,0
Precinct,405 - La Prade (CD 7),834,937,5,1776,0
Precinct,406 - Smoketree (CD 7),646,979,0,1625,0
Precinct,407 - Monacan (CD 7),441,582,1,1024,0
Precinct,408 - Reams (CD 7),1279,758,1,2038,0
Precinct,409 - Manchester (CD 7),497,424,0,921,0
Precinct,410 - Wagstaff (CD 7),472,486,0,958,0
Precinct,411 - Swift Creek (CD 7),812,906,0,1718,0
Precinct,413 - Shenandoah (CD 7),772,663,2,1437,0
Precinct,414 - Crenshaw (CD 7),993,1030,0,2023,0
Precinct,415 - Evergreen (CD 7),801,901,6,1708,0
Precinct,416 - Evergreen West (CD 7),407,397,0,804,0
Precinct,417 - Edgewater (CD 7),392,419,0,811,0
Precinct,501 - Huguenot (CD 7),671,562,1,1234,0
Precinct,502 - Crestwood (CD 7),490,518,1,1009,0
Precinct,503 - Midlothian (CD 7),722,951,1,1674,0
Precinct,504 - Robious (CD 7),1096,1618,0,2714,0
Precinct,505 - Bon Air (CD 7),1005,957,3,1965,0
Precinct,506 - Greenfield (CD 7),926,777,1,1704,0
Precinct,507 - Salisbury (CD 7),893,1566,3,2462,0
Precinct,508 - Belgrade (CD 7),750,829,2,1581,0
Precinct,509 - Cranbeck (CD 7),610,448,1,1059,0
Precinct,510 - Sycamore (CD 7),759,1090,3,1852,0
Precinct,511 - Black Heath (CD 7),494,799,0,1293,0
Precinct,513 - Beaufont (CD 7),494,181,0,675,0
Precinct,514 - Watkins (CD 7),831,1231,3,2065,0
Precinct,515 - Davis (CD 7),980,246,0,1226,0
Precinct,516 - Pocoshock (CD 7),657,194,0,851,0
Precinct,517 - Roseland (CD 7),263,446,0,709,0
Precinct,518 - Midlothian North (CD 7),740,1274,1,2015,0
Precinct,Ab - Central Absentee Precinct (CD 4),894,1152,1,2047,0
Precinct,Ab - Central Absentee Precinct (CD 7),2191,2208,2,4401,0
Precinct,Provisional (CD 4),14,9,0,23,0
Precinct,Provisional (CD 7),330,114,0,444,0
Locality,Clarke County,2409,3122,6,5537,0
Precinct,101 - Russell,382,671,2,1055,0
Precinct,201 - Berryville,449,470,0,919,0
Precinct,301 - Millwood,339,435,0,774,0
Precinct,302 - Pine Grove,131,211,1,343,0
Precinct,401 - White Post,453,552,0,1005,0
Precinct,501 - Buckmarsh,305,425,2,732,0
Precinct,502 - Blue Ridge,128,153,0,281,0
Precinct,Ab - Central Absentee Precinct,220,203,1,424,0
Precinct,Provisional,2,2,0,4,0
Locality,Colonial Heights City,1419,3700,3,5122,0
Precinct,1 - First,239,385,1,625,0
Precinct,2 - Second,211,529,1,741,0
Precinct,3 - Third,275,650,0,925,0
Precinct,4 - Fourth,331,770,0,1101,0
Precinct,5 - Fifth,254,977,1,1232,0
Precinct,Ab - Central Absentee Precinct,109,388,0,497,0
Precinct,Provisional,0,1,0,1,0
Locality,Covington City,543,788,2,1333,0
Precinct,101 - Precinct 1-1,76,117,1,194,0
Precinct,201 - Precinct 2-1,113,130,0,243,0
Precinct,301 - Precinct 3-1,118,84,0,202,0
Precinct,401 - Precinct 4-1,112,235,1,348,0
Precinct,501 - Precinct 5-1,95,199,0,294,0
Precinct,Ab - Central Absentee Precinct,29,23,0,52,0
Precinct,Provisional,0,0,0,0,0
Locality,Craig County,430,1401,0,1831,0
Precinct,101 - Court House,61,261,0,322,0
Precinct,201 - Ammendale Precinct,75,317,0,392,0
Precinct,301 - Givens & Reynolds Store,76,160,0,236,0
Precinct,303 - Marshalls Store,70,125,0,195,0
Precinct,401 - Barbours Creek,37,121,0,158,0
Precinct,402 - Paint Bank,12,24,0,36,0
Precinct,403 - Craig Springs,40,137,0,177,0
Precinct,501 - Craig City,59,256,0,315,0
Precinct,Provisional,0,0,0,0,0
Locality,Culpeper County,4938,8553,16,13507,0
Precinct,101 - West Fairfax,758,768,0,1526,0
Precinct,201 - East Fairfax,655,549,2,1206,0
Precinct,302 - Eggbornsville,232,566,2,800,0
Precinct,303 - Cardova,171,420,0,591,0
Precinct,304 - Willow Shade,133,145,0,278,0
Precinct,401 - Eldorado,265,535,2,802,0
Precinct,402 - Browns Store,479,965,4,1448,0
Precinct,501 - Jeffersonton,368,833,1,1202,0
Precinct,502 - Rixeyville,356,793,1,1150,0
Precinct,601 - Mitchells,53,147,0,200,0
Precinct,602 - Pearl Sample,444,754,1,1199,0
Precinct,603 - South Ridge,154,199,1,354,0
Precinct,702 - Brandy Station,311,761,1,1073,0
Precinct,703 - Lignum,163,411,0,574,0
Precinct,704 - Richardsville,71,245,1,317,0
Precinct,Ab - Central Absentee Precinct,320,455,0,775,0
Precinct,Provisional,5,7,0,12,0
Locality,Cumberland County,1258,1856,3,3117,0
Precinct,101 - Precinct 1,257,420,0,677,0
Precinct,201 - Precinct 2,200,417,1,618,0
Precinct,301 - Precinct 3,318,241,0,559,0
Precinct,401 - Precinct 4,176,385,1,562,0
Precinct,501 - Precinct 5,255,313,1,569,0
Precinct,Ab - Central Absentee Precinct,50,79,0,129,0
Precinct,Provisional,2,1,0,3,0
Locality,Danville City,6208,4685,10,10903,0
Precinct,1 - Ward One,207,35,1,243,0
Precinct,2 - Ward Two,203,127,1,331,0
Precinct,3 - Ward Three,453,201,0,654,0
Precinct,4 - Ward Four,597,573,2,1172,0
Precinct,6 - Ward Six,240,35,0,275,0
Precinct,7 - Ward Seven,443,79,1,523,0
Precinct,8 - Ward Eight,331,168,0,499,0
Precinct,9 - Ward Nine,269,198,0,467,0
Precinct,10 - Ward Ten,344,308,0,652,0
Precinct,11 - Ward Eleven,648,305,0,953,0
Precinct,12 - Ward Twelve,628,455,2,1085,0
Precinct,13 - Ward Thirteen,533,326,0,859,0
Precinct,14 - Ward Fourteen,115,5,0,120,0
Precinct,15 - Ward Fifteen,370,396,1,767,0
Precinct,16 - Ward Sixteen,360,572,0,932,0
Precinct,17 - Ward Seventeen,231,619,1,851,0
Precinct,Ab - Central Absentee Precinct,235,282,1,518,0
Precinct,Provisional,1,1,0,2,0
Locality,Dickenson County,958,2446,5,3409,0
Precinct,101 - South Clintwood,185,487,2,674,0
Precinct,201 - Nora,55,164,1,220,0
Precinct,202 - Frying Pan,18,78,0,96,0
Precinct,203 - Clinchco,77,173,0,250,0
Precinct,301 - West Dante,12,116,0,128,0
Precinct,302 - Herald,29,181,0,210,0
Precinct,303 - Ridge,67,288,0,355,0
Precinct,401 - Haysi-colley,184,309,0,493,0
Precinct,501 - Tarpon,50,111,1,162,0
Precinct,502 - North Clintwood,134,367,0,501,0
Precinct,Ab - Central Absentee Precinct,146,172,1,319,0
Precinct,Provisional,1,0,0,1,0
Locality,Dinwiddie County,3680,4602,5,8287,0
Precinct,101 - White Oak,85,249,0,334,0
Precinct,102 - Rocky Run,142,368,1,511,0
Precinct,103 - Church Road,167,637,0,804,0
Precinct,201 - Rohoic,239,166,0,405,0
Precinct,202 - Sutherland,458,671,0,1129,0
Precinct,301 - Reams,111,204,0,315,0
Precinct,302 - New Hope,210,372,1,583,0
Precinct,303 - Little Zion,448,349,0,797,0
Precinct,401 - Dinwiddie,326,499,0,825,0
Precinct,402 - Mckenney,195,243,1,439,0
Precinct,403 - Cherry Hill,182,163,0,345,0
Precinct,501 - Edgehill,95,38,0,133,0
Precinct,502 - Chesdin,764,335,1,1100,0
Precinct,Ab - Central Absentee Precinct,258,308,1,567,0
Precinct,Provisional,0,0,0,0,0
Locality,Emporia City,913,708,1,1622,0
Precinct,101 - Precinct 1-1,161,86,0,247,0
Precinct,201 - Precinct 2-1,138,17,0,155,0
Precinct,301 - Precinct 3-1,104,132,0,236,0
Precinct,401 - Precinct 4-1,124,160,1,285,0
Precinct,501 - Precinct 5-1,124,10,0,134,0
Precinct,601 - District 6,117,190,0,307,0
Precinct,701 - District 7,110,63,0,173,0
Precinct,AB - Central Absentee Precinct,35,50,0,85,0
Precinct,Provisional,0,0,0,0,0
Locality,Essex County,1700,1997,2,3699,0
Precinct,101 - Greater Tappahannock,348,412,0,760,0
Precinct,201 - North,496,310,1,807,0
Precinct,301 - South,335,614,1,950,0
Precinct,401 - Central,370,516,0,886,0
Precinct,Ab - Central Absentee Precinct,150,145,0,295,0
Precinct,Provisional,1,0,0,1,0
Locality,Fairfax City,5303,2911,8,8222,0
Precinct,1 - One,685,374,4,1063,0
Precinct,2 - Two,698,473,1,1172,0
Precinct,3 - Three,994,574,1,1569,0
Precinct,4 - Four,905,485,0,1390,0
Precinct,5 - Five,729,362,1,1092,0
Precinct,6 - Six,672,371,0,1043,0
Precinct,Ab - Central Absentee Precinct,614,270,1,885,0
Precinct,Provisional,6,2,0,8,0
Locality,Fairfax County,251486,122291,402,374179,0
Precinct,104 - Chapel (CD 11),834,534,0,1368,0
Precinct,105 - Fairview (CD 11),1545,835,1,2381,0
Precinct,106 - Heritage (CD 11),1056,349,0,1405,0
Precinct,108 - Kings Park (CD 11),784,484,2,1270,0
Precinct,109 - Little Run (CD 11),506,285,0,791,0
Precinct,110 - North Springfield (CD 11),1248,633,2,1883,0
Precinct,113 - Canterbury (CD 11),1376,752,5,2133,0
Precinct,114 - Olde Creek (CD 11),627,403,1,1031,0
Precinct,115 - Ravensworth (CD 11),516,367,0,883,0
Precinct,116 - Wakefield (CD 11),891,428,3,1322,0
Precinct,117 - Woodson (CD 11),875,529,2,1406,0
Precinct,118 - Lake Braddock (CD 11),1318,579,2,1899,0
Precinct,119 - Laurel (CD 11),1340,762,1,2103,0
Precinct,120 - Sideburn (CD 11),965,751,3,1719,0
Precinct,121 - Villa (CD 11),605,361,1,967,0
Precinct,123 - Robinson (CD 11),1277,763,3,2043,0
Precinct,125 - Signal Hill (CD 11),1037,584,0,1621,0
Precinct,126 - Bonnie Brae (CD 11),835,379,2,1216,0
Precinct,127 - Burke Centre (CD 11),1428,692,4,2124,0
Precinct,128 - Cardinal (CD 11),761,361,1,1123,0
Precinct,129 - Keene Mill (CD 11),604,324,0,928,0
Precinct,130 - Terra Centre (CD 11),770,458,0,1228,0
Precinct,131 - Eagle View (CD 11),990,501,3,1494,0
Precinct,132 - Monument (CD 11),1174,425,2,1601,0
Precinct,133 - Danbury (CD 11),244,120,0,364,0
Precinct,134 - University (CD 11),1099,185,1,1285,0
Precinct,201 - Armstrong (CD 11),1283,553,2,1838,0
Precinct,202 - Flint Hill (CD 11),996,673,0,1669,0
Precinct,203 - Floris (CD 11),1264,700,0,1964,0
Precinct,204 - Madison (CD 11),278,109,1,388,0
Precinct,208 - Reston #1 (CD 11),1244,371,2,1617,0
Precinct,209 - Reston #2 (CD 11),1265,304,7,1576,0
Precinct,213 - Vienna #1 (CD 11),1414,712,0,2126,0
Precinct,214 - Vienna #2 (CD 11),1099,562,5,1666,0
Precinct,216 - Vienna #4 (CD 11),566,251,0,817,0
Precinct,218 - Vienna #6 (CD 11),802,342,0,1144,0
Precinct,219 - Westbriar (CD 11),1216,632,1,1849,0
Precinct,220 - Dogwood (CD 11),1424,452,0,1876,0
Precinct,221 - Hunters Woods (CD 11),1108,493,0,1601,0
Precinct,222 - Reston #3 (CD 11),1003,208,3,1214,0
Precinct,223 - Glade (CD 11),1539,480,1,2020,0
Precinct,224 - South Lakes (CD 11),1877,542,6,2425,0
Precinct,225 - Hughes (CD 11),1419,337,2,1758,0
Precinct,226 - Wolftrap (CD 11),1237,759,1,1997,0
Precinct,227 - Sunrise Valley (CD 11),647,329,1,977,0
Precinct,229 - Fox Mill (CD 10),1568,924,6,2498,0
Precinct,233 - North Point (CD 11),1126,638,0,1764,0
Precinct,234 - Aldrin (CD 11),1077,447,1,1525,0
Precinct,235 - Frying Pan (CD 11),1014,320,3,1337,0
Precinct,236 - Stuart (CD 11),506,232,2,740,0
Precinct,237 - Mcnair (CD 11),1035,301,1,1337,0
Precinct,238 - Cameron Glen (CD 11),1044,450,2,1496,0
Precinct,240 - Colvin (CD 10),721,529,1,1251,0
Precinct,301 - Chain Bridge (CD 10),926,655,2,1583,0
Precinct,302 - Chesterbrook (CD 8),909,526,1,1436,0
Precinct,303 - Churchill (CD 10),464,307,0,771,0
Precinct,304 - Cooper (CD 10),572,420,0,992,0
Precinct,305 - El Nido (CD 8),796,377,0,1173,0
Precinct,306 - Great Falls (CD 10),567,507,1,1075,0
Precinct,307 - Haycock (CD 8),900,436,1,1337,0
Precinct,309 - Kenmore (CD 10),1023,711,2,1736,0
Precinct,310 - Kirby (CD 8),734,326,1,1061,0
Precinct,311 - Langley (CD 10),585,460,3,1048,0
Precinct,312 - Longfellow (CD 8),878,397,0,1275,0
Precinct,314 - Mclean (CD 10),765,426,0,1191,0
Precinct,315 - Pimmit (CD 8),1073,483,3,1559,0
Precinct,316 - Salona #1 (CD 8),297,197,1,495,0
Precinct,317 - Westhampton (CD 8),828,391,0,1219,0
Precinct,318 - Westmoreland (CD 8),530,250,0,780,0
Precinct,319 - Herndon #1 (CD 11),1310,645,3,1958,0
Precinct,320 - Herndon #2 (CD 11),1346,518,5,1869,0
Precinct,321 - Clearview (CD 10),1284,721,5,2010,0
Precinct,322 - Forestville (CD 10),749,744,2,1495,0
Precinct,323 - Shouse (CD 10),738,462,0,1200,0
Precinct,324 - Herndon #3 (CD 11),1108,399,5,1512,0
Precinct,325 - Hutchison (CD 11),789,166,1,956,0
Precinct,327 - Sugarland (CD 10),1126,677,0,1803,0
Precinct,328 - Hickory (CD 10),865,703,3,1571,0
Precinct,329 - Seneca (CD 10),949,762,0,1711,0
Precinct,331 - Spring Hill (CD 10),661,471,1,1133,0
Precinct,332 - Coates (CD 11),1021,269,3,1293,0
Precinct,333 - Salona #2 (CD 8),560,341,2,903,0
Precinct,401 - Bush Hill (CD 8),1144,592,4,1740,0
Precinct,402 - Cameron (CD 8),425,155,1,581,0
Precinct,403 - Forestdale (CD 8),466,178,1,645,0
Precinct,404 - Franconia (CD 8),1201,417,1,1619,0
Precinct,405 - Groveton (CD 8),658,189,2,849,0
Precinct,406 - Hayfield (CD 8),759,562,1,1322,0
Precinct,408 - Mount Eagle (CD 8),942,261,2,1205,0
Precinct,409 - Pioneer (CD 8),1217,397,1,1615,0
Precinct,410 - Rose Hill (CD 8),1358,705,5,2068,0
Precinct,411 - Virginia Hills (CD 8),790,317,3,1110,0
Precinct,413 - Fairfield (CD 8),768,117,0,885,0
Precinct,415 - Crestwood (CD 8),802,386,3,1191,0
Precinct,417 - Garfield (CD 8),1083,458,1,1542,0
Precinct,418 - Lynbrook (CD 8),660,217,1,878,0
Precinct,419 - Lane (CD 8),1238,376,1,1615,0
Precinct,420 - Villages (CD 8),1391,533,5,1929,0
Precinct,421 - Kingstowne (CD 8),1182,425,0,1607,0
Precinct,422 - Van Dorn (CD 8),1221,463,1,1685,0
Precinct,423 - Clermont (CD 8),936,461,5,1402,0
Precinct,424 - Huntley (CD 8),968,445,2,1415,0
Precinct,426 - Greenspring (CD 11),760,419,0,1179,0
Precinct,427 - Island Creek (CD 8),920,361,2,1283,0
Precinct,428 - Pinewood (CD 8),1086,196,1,1283,0
Precinct,429 - Hybla Valley (CD 8),1070,181,0,1251,0
Precinct,501 - Baileys (CD 8),1209,342,2,1553,0
Precinct,502 - Barcroft (CD 11),553,247,0,800,0
Precinct,503 - Belvedere (CD 11),643,237,1,881,0
Precinct,504 - Bristow (CD 11),789,278,1,1068,0
Precinct,505 - Glen Forest (CD 8),985,279,2,1266,0
Precinct,506 - Holmes #1 (CD 8),178,39,0,217,0
Precinct,507 - Lincolnia (CD 8),1141,365,0,1506,0
Precinct,508 - Masonville (CD 11),995,413,5,1413,0
Precinct,509 - Plaza (CD 8),414,72,2,488,0
Precinct,510 - Parklawn (CD 8),760,313,1,1074,0
Precinct,511 - Ravenwood (CD 11),938,389,2,1329,0
Precinct,512 - Sleepy Hollow (CD 11),546,251,1,798,0
Precinct,513 - Saint Albans (CD 8),314,149,0,463,0
Precinct,513 - Saint Albans (CD 11),582,259,0,841,0
Precinct,514 - Crossroads (CD 8),502,89,2,593,0
Precinct,515 - Westlawn (CD 8),609,191,1,801,0
Precinct,516 - Weyanoke (CD 8),1058,324,2,1384,0
Precinct,517 - Willston (CD 8),578,162,2,742,0
Precinct,518 - Columbia (CD 11),838,379,2,1219,0
Precinct,519 - Hummer (CD 11),563,286,0,849,0
Precinct,520 - Skyline (CD 8),835,181,1,1017,0
Precinct,521 - Brook Hill (CD 8),663,344,1,1008,0
Precinct,522 - Camelot (CD 11),512,319,0,831,0
Precinct,523 - Poe (CD 8),853,389,1,1243,0
Precinct,525 - Walnut Hill (CD 8),1075,459,1,1535,0
Precinct,526 - Bren Mar (CD 8),1209,342,1,1552,0
Precinct,527 - Edsall (CD 8),686,266,2,954,0
Precinct,528 - Ridgelea (CD 11),448,253,2,703,0
Precinct,530 - Holmes #2 (CD 11),669,158,0,827,0
Precinct,601 - Belle Haven (CD 8),664,476,1,1141,0
Precinct,602 - Belleview (CD 8),852,368,3,1223,0
Precinct,604 - Bucknell (CD 8),1183,345,2,1530,0
Precinct,605 - Fort Hunt (CD 8),784,564,0,1348,0
Precinct,606 - Hollin Hall (CD 8),964,537,4,1505,0
Precinct,607 - Huntington (CD 8),1354,457,2,1813,0
Precinct,608 - Kirkside (CD 8),804,316,0,1120,0
Precinct,609 - Marlan (CD 8),750,489,2,1241,0
Precinct,610 - Sherwood (CD 8),706,295,1,1002,0
Precinct,611 - Stratford (CD 8),966,634,1,1601,0
Precinct,612 - Waynewood (CD 8),470,319,1,790,0
Precinct,613 - Westgate (CD 8),907,1000,4,1911,0
Precinct,614 - Riverside (CD 8),670,509,2,1181,0
Precinct,615 - Woodley (CD 8),878,536,2,1416,0
Precinct,616 - Gunston (CD 8),656,570,0,1226,0
Precinct,617 - Lorton (CD 8),748,184,0,932,0
Precinct,618 - Newington (CD 11),1591,827,1,2419,0
Precinct,619 - Belvoir (CD 8),1069,556,1,1626,0
Precinct,621 - Grosvenor (CD 8),759,221,3,983,0
Precinct,622 - Lorton Station (CD 8),1171,317,2,1490,0
Precinct,623 - Alban (CD 8),993,385,2,1380,0
Precinct,626 - Saratoga (CD 8),1112,625,3,1740,0
Precinct,627 - Woodlawn (CD 8),1218,375,0,1593,0
Precinct,628 - Laurel Hill (CD 11),1315,438,2,1755,0
Precinct,629 - South County (CD 11),860,630,1,1491,0
Precinct,630- Army (CD 8),241,135,0,376,0
Precinct,701 - Blake (CD 11),1510,559,2,2071,0
Precinct,703 - Fort Buffalo (CD 8),696,199,3,898,0
Precinct,704 - Freedom Hill (CD 11),795,335,1,1131,0
Precinct,705 - Graham - Greenway (CD 8),1314,447,0,1761,0
Precinct,707 - Mantua (CD 11),811,417,0,1228,0
Precinct,708 - Marshall (CD 8),1754,525,5,2284,0
Precinct,709 - Mosby (CD 11),1071,358,5,1434,0
Precinct,710 - Pine Spring (CD 8),814,294,2,1110,0
Precinct,711 - Price (CD 11),747,363,1,1111,0
Precinct,712 - Shreve (CD 8),598,267,0,865,0
Precinct,713 - Timber Lane (CD 8),1142,342,1,1485,0
Precinct,714 - Walker (CD 11),1080,431,0,1511,0
Precinct,717 - Woodburn (CD 11),686,251,2,939,0
Precinct,718 - Pine Ridge (CD 11),762,336,1,1099,0
Precinct,720 - Thoreau (CD 11),1117,497,3,1617,0
Precinct,721 - Merrifield (CD 11),1271,341,5,1617,0
Precinct,723 - Gallows East (CD 11),608,178,0,786,0
Precinct,726 - Magarity (CD 8),1193,429,1,1623,0
Precinct,727 - Oakton (CD 11),777,544,1,1322,0
Precinct,729 - Nottoway (CD 11),1229,503,2,1734,0
Precinct,730 - Penderbrook (CD 11),1087,529,1,1617,0
Precinct,731 - Tysons (CD 11),755,244,3,1002,0
Precinct,732 - Oak Marr (CD 11),1090,717,1,1808,0
Precinct,733 - Kilmer (CD 11),1421,528,1,1950,0
Precinct,734 - Hunters Branch (CD 11),731,263,1,995,0
Precinct,735 - Rotonda (CD 11),431,179,3,613,0
Precinct,801 - Burke (CD 11),1494,705,5,2204,0
Precinct,802 - Cedar Lake (CD 11),371,140,0,511,0
Precinct,803 - Clifton (CD 10),987,1198,0,2185,0
Precinct,804 - Colchester (CD 10),488,510,1,999,0
Precinct,805 - Fairfax Station (CD 10),451,430,2,883,0
Precinct,806 - Sydenstricker (CD 11),1064,668,1,1733,0
Precinct,807 - Hunt Valley (CD 11),684,471,2,1157,0
Precinct,811 - Pohick (CD 11),727,265,1,993,0
Precinct,812 - Valley (CD 11),933,533,1,1467,0
Precinct,815 - Woodyard (CD 10),669,761,0,1430,0
Precinct,824 - Orange (CD 11),1282,839,2,2123,0
Precinct,825 - Cherry Run (CD 11),898,601,2,1501,0
Precinct,827 - Irving (CD 11),923,546,1,1470,0
Precinct,833 - White Oaks (CD 11),937,446,4,1387,0
Precinct,838 - Sangster (CD 10),662,549,3,1214,0
Precinct,839 - Silverbrook (CD 10),958,850,1,1809,0
Precinct,840 - West Springfield (CD 11),984,574,3,1561,0
Precinct,841 - Popes Head (CD 10),442,456,2,900,0
Precinct,842 - Parkway (CD 11),692,543,4,1239,0
Precinct,843 - Fair Lakes (CD 11),1050,507,3,1560,0
Precinct,844 - Centerpointe (CD 11),837,292,3,1132,0
Precinct,845 - Fountainhead (CD 10),1002,1041,0,2043,0
Precinct,846 - Greenbriar East (CD 11),1112,473,2,1587,0
Precinct,847 - Greenbriar West (CD 10),729,425,2,1156,0
Precinct,848 - Fair Oaks (CD 11),899,410,1,1310,0
Precinct,849 - Newgate (CD 10),1330,1213,2,2545,0
Precinct,850 - South Run (CD 10),820,699,0,1519,0
Precinct,851 - Willow Springs (CD 11),763,548,0,1311,0
Precinct,901 - Centre Ridge (CD 11),950,389,0,1339,0
Precinct,902 - Brookfield (CD 10),1235,562,1,1798,0
Precinct,903 - Cub Run (CD 10),1125,748,3,1876,0
Precinct,904 - Stonecroft (CD 10),390,328,0,718,0
Precinct,905 - Franklin (CD 10),325,199,0,524,0
Precinct,908 - Hidden Meadow (CD 10),733,514,1,1248,0
Precinct,909 - Oak Hill (CD 10),760,434,1,1195,0
Precinct,910 - London Towne (CD 11),1136,474,3,1613,0
Precinct,911 - Navy (CD 10),1100,634,1,1735,0
Precinct,913 - Rocky Run (CD 10),1176,871,1,2048,0
Precinct,914 - Vale (CD 10),766,514,2,1282,0
Precinct,915 - Virginia Run (CD 10),652,752,3,1407,0
Precinct,916 - Waples Mill (CD 10),1342,977,3,2322,0
Precinct,917 - Stone North (CD 10),641,330,1,972,0
Precinct,918 - Centreville (CD 11),1365,545,3,1913,0
Precinct,919 - Green Trails (CD 11),1262,562,1,1825,0
Precinct,920 - Chantilly (CD 10),879,470,0,1349,0
Precinct,921 - Deer Park (CD 10),896,768,2,1666,0
Precinct,923 - Bull Run (CD 10),507,644,0,1151,0
Precinct,924 - Spindle (CD 11),627,212,0,839,0
Precinct,925 - Old Mill (CD 10),528,322,1,851,0
Precinct,926 - Powell (CD 11),1250,531,2,1783,0
Precinct,927 - Armfield (CD 10),564,305,0,869,0
Precinct,928 - Poplar Tree (CD 10),878,603,0,1481,0
Precinct,929 - Difficult Run (CD 10),195,192,0,387,0
Precinct,930 - Lees Corner (CD 10),728,438,0,1166,0
Precinct,931 - Carson (CD 10),811,370,1,1182,0
Precinct,932 - Stone South (CD 10),491,184,1,676,0
Precinct,933 - Compton (CD 11),209,142,0,351,0
Precinct,Ab - Central Absentee Precinct (CD 10),6706,4063,4,10773,0
Precinct,Ab - Central Absentee Precinct (CD 11),15216,5909,18,21143,0
Precinct,Ab - Central Absentee Precinct (CD 8),9407,3499,5,12911,0
Precinct,Provisional (CD 10),53,20,0,73,0
Precinct,Provisional (CD 11),133,53,1,187,0
Precinct,Provisional (CD 8),67,29,0,96,0
Locality,Falls Church City,4653,1307,8,5968,0
Precinct,1 - First Ward,1250,393,0,1643,0
Precinct,2 - Second Ward,955,307,2,1264,0
Precinct,3 - Third Ward,1366,438,2,1806,0
Precinct,Ab - Central Absentee Precinct,1071,166,4,1241,0
Precinct,Provisional,11,3,0,14,0
Locality,Fauquier County,9329,14615,38,23982,0
Precinct,101 - Kettle Run (CD 5),164,457,2,623,0
Precinct,102 - Catlett (CD 1),341,953,0,1294,0
Precinct,103 - Casanova (CD 5),243,362,2,607,0
Precinct,104 - Lois (CD 1),192,400,0,592,0
Precinct,105 - Opal (CD 5),161,397,2,560,0
Precinct,106 - Baldwin Ridge (CD 5),292,474,1,767,0
Precinct,201 - Courthouse (CD 5),697,793,3,1493,0
Precinct,202 - Airlie (CD 5),519,735,2,1256,0
Precinct,203 - Warrenton (CD 5),667,705,1,1373,0
Precinct,301 - Morrisville (CD 1),232,584,2,818,0
Precinct,302 - Remington (CD 5),438,769,0,1207,0
Precinct,303 - Bealeton (CD 1),541,811,2,1354,0
Precinct,401 - Marshall (CD 5),517,763,3,1283,0
Precinct,402 - Leeds (CD 5),584,682,1,1267,0
Precinct,403 - Waterloo (CD 5),551,993,3,1547,0
Precinct,404 - Springs Valley (CD 5),253,441,1,695,0
Precinct,501 - The Plains (CD 5),571,582,3,1156,0
Precinct,502 - New Baltimore (CD 5),431,799,3,1233,0
Precinct,503 - Broad Run (CD 5),428,747,2,1177,0
Precinct,504 - Vint Hill (CD 5),711,1229,0,1940,0
Precinct,Ab - Central Absentee Precinct (CD 1),69,137,2,208,0
Precinct,Ab - Central Absentee Precinct (CD 5),714,796,3,1513,0
Precinct,Provisional (CD 1),2,0,0,2,0
Precinct,Provisional (CD 5),11,6,0,17,0
Locality,Floyd County,1922,3531,4,5457,0
Precinct,101 - Locust Grove,316,676,0,992,0
Precinct,201 - Little River,451,712,1,1164,0
Precinct,301 - Courthouse,399,560,1,960,0
Precinct,401 - Burks Fork,286,653,1,940,0
Precinct,501 - Indian Valley,257,699,1,957,0
Precinct,Ab - Central Absentee Precinct,213,230,0,443,0
Precinct,Provisional,0,1,0,1,0
Locality,Fluvanna County,4243,4935,4,9182,0
Precinct,101 - Palmyra,904,935,0,1839,0
Precinct,201 - Columbia,607,740,2,1349,0
Precinct,301 - Fork Union,613,707,1,1321,0
Precinct,401 - Cunningham,674,1108,0,1782,0
Precinct,501 - Rivanna,1034,1052,1,2087,0
Precinct,Ab - Central Absentee Precinct,409,391,0,800,0
Precinct,Provisional,2,2,0,4,0
Locality,Franklin City,1533,1015,1,2549,0
Precinct,101 - Precinct 1-1,212,393,0,605,0
Precinct,201 - Precinct 2-1,191,274,0,465,0
Precinct,301 - Precinct 3-1,333,25,0,358,0
Precinct,401 - Precinct 4-1,234,28,1,263,0
Precinct,501 - Precinct 5-1,256,10,0,266,0
