,,Mark Robert Warner,Daniel Mac Arthur Gade,Write-Ins,Total Votes Cast,Undervotes
Precinct,301 - Ettrick (CD 4),454,162,0,616,0
Precinct,302 - Deer Run (CD 7),142,317,0,459,0
Precinct,303 - Matoaca (CD 4),275,545,2,822,0
Precinct,304 - Winfrees Store (CD 4),117,689,2,808,0
Precinct,305 - Beach (CD 4),81,348,1,430,0
Precinct,306 - Winterpock (CD 7),175,916,2,1093,0
Precinct,307 - Cosby (CD 7),465,982,2,1449,0
Precinct,308 - South Manchester (CD 7),113,146,0,259,0
Precinct,309 - Skinquarter (CD 7),155,542,2,699,0
Precinct,310 - Tomahawk (CD 7),293,670,0,963,0
Precinct,313 - Woolridge (CD 7),337,832,2,1171,0
Precinct,314 - Longhouse (CD 4),67,372,3,442,0
Precinct,315 - Bailey Bridge (CD 7),193,746,1,940,0
Precinct,316 - Spring Run (CD 7),374,801,0,1175,0
Precinct,317 - Birkdale (CD 7),275,659,0,934,0
Precinct,318 - West Beach (CD 7),92,284,1,377,0
Precinct,319 - Magnolia (CD 7),296,860,2,1158,0
Precinct,401 - Harbour Pointe (CD 7),174,397,0,571,0
Precinct,402 - Genito (CD 7),130,183,1,314,0
Precinct,403 - Brandermill (CD 7),301,531,3,835,0
Precinct,404 - Providence (CD 7),313,369,1,683,0
Precinct,405 - La Prade (CD 7),168,308,0,476,0
Precinct,406 - Smoketree (CD 7),197,424,0,621,0
Precinct,407 - Monacan (CD 7),131,296,0,427,0
Precinct,408 - Reams (CD 7),362,377,1,740,0
Precinct,409 - Manchester (CD 7),298,304,1,603,0
Precinct,410 - Wagstaff (CD 7),215,313,2,530,0
Precinct,411 - Swift Creek (CD 7),291,557,1,849,0
Precinct,412 - Clover Hill (CD 7),268,492,3,763,0
Precinct,413 - Shenandoah (CD 7),345,442,1,788,0
Precinct,414 - Crenshaw (CD 7),478,807,3,1288,0
Precinct,415 - Evergreen (CD 7),253,447,3,703,0
Precinct,416 - Evergreen West (CD 7),214,311,1,526,0
Precinct,417 - Edgewater (CD 7),155,295,1,451,0
Precinct,501 - Huguenot (CD 7),352,404,3,759,0
Precinct,502 - Crestwood (CD 7),189,269,1,459,0
Precinct,503 - Midlothian (CD 7),228,440,0,668,0
Precinct,504 - Robious (CD 7),256,730,1,987,0
Precinct,505 - Bon Air (CD 7),254,441,2,697,0
Precinct,506 - Greenfield (CD 7),425,487,4,916,0
Precinct,507 - Salisbury (CD 7),279,876,1,1156,0
Precinct,508 - Belgrade (CD 7),275,403,2,680,0
Precinct,509 - Cranbeck (CD 7),333,326,0,659,0
Precinct,510 - Sycamore (CD 7),222,428,0,650,0
Precinct,511 - Black Heath (CD 7),211,498,0,709,0
Precinct,513 - Beaufont (CD 7),281,160,0,441,0
Precinct,514 - Watkins (CD 7),275,573,1,849,0
Precinct,515 - Davis (CD 7),487,190,0,677,0
Precinct,516 - Pocoshock (CD 7),222,149,1,372,0
Precinct,517 - Roseland (CD 7),217,498,0,715,0
Precinct,518 - Midlothian North (CD 7),225,599,2,826,0
Precinct,Ab - Central Absentee Precinct (CD 4),21206,16896,24,38126,0
Precinct,Ab - Central Absentee Precinct (CD 7),63928,40065,79,104072,0
Precinct,Provisional (CD 4),113,61,0,174,0
Precinct,Provisional (CD 7),304,172,0,476,0
Locality,Clarke County,4052,5214,8,9274,0
Precinct,101 - Russell,124,543,0,667,0
Precinct,201 - Berryville,177,346,1,524,0
Precinct,301 - Millwood,106,374,1,481,0
Precinct,302 - Pine Grove,84,198,1,283,0
Precinct,401 - White Post,216,567,0,783,0
Precinct,501 - Buckmarsh,103,373,0,476,0
Precinct,502 - Blue Ridge,76,220,0,296,0
Precinct,Ab - Central Absentee Precinct,3159,2586,5,5750,0
Precinct,Provisional,7,7,0,14,0
Locality,Colonial Heights City,3143,5788,9,8940,0
Precinct,1 - First,205,417,1,623,0
Precinct,2 - Second,192,423,0,615,0
Precinct,3 - Third,199,451,0,650,0
Precinct,4 - Fourth,211,460,0,671,0
Precinct,5 - Fifth,153,565,1,719,0
Precinct,Ab - Central Absentee Precinct,2173,3467,7,5647,0
Precinct,Provisional,10,5,0,15,0
Locality,Covington City,1157,1386,2,2545,0
Precinct,101 - Precinct 1-1,108,147,1,256,0
Precinct,201 - Precinct 2-1,89,154,1,244,0
Precinct,301 - Precinct 3-1,113,110,0,223,0
Precinct,401 - Precinct 4-1,114,248,0,362,0
Precinct,501 - Precinct 5-1,107,268,0,375,0
Precinct,Ab - Central Absentee Precinct,626,459,0,1085,0
Precinct,Provisional,0,0,0,0,0
Locality,Craig County,757,2381,5,3143,0
Precinct,101 - Court House,61,280,1,342,0
Precinct,201 - Ammendale Precinct,65,361,0,426,0
Precinct,301 - Givens & Reynolds Store,66,228,2,296,0
Precinct,303 - Marshalls Store,48,146,1,195,0
Precinct,401 - Barbours Creek,44,150,0,194,0
Precinct,402 - Paint Bank,12,31,0,43,0
Precinct,403 - Craig Springs,36,154,0,190,0
Precinct,501 - Craig City,52,287,0,339,0
Precinct,AB - Central Absentee Precinct,371,736,0,1107,0
Precinct,Provisional,2,8,1,11,0
Locality,Culpeper County,11123,15590,16,26729,0
Precinct,101 - West Fairfax,414,721,0,1135,0
Precinct,201 - East Fairfax,435,547,1,983,0
Precinct,302 - Eggbornsville,132,662,1,795,0
Precinct,303 - Cardova,149,554,0,703,0
Precinct,304 - Willow Shade,112,190,1,303,0
Precinct,401 - Eldorado,175,703,0,878,0
Precinct,402 - Browns Store,213,954,1,1168,0
Precinct,501 - Jeffersonton,230,919,1,1150,0
Precinct,502 - Rixeyville,198,825,2,1025,0
Precinct,601 - Mitchells,64,164,0,228,0
Precinct,602 - Pearl Sample,204,657,1,862,0
Precinct,603 - South Ridge,126,202,0,328,0
Precinct,702 - Brandy Station,240,917,2,1159,0
Precinct,703 - Lignum,141,500,0,641,0
Precinct,704 - Richardsville,91,328,3,422,0
Precinct,Ab - Central Absentee Precinct,8141,6698,3,14842,0
Precinct,Provisional,58,49,0,107,0
Locality,Cumberland County,2317,2947,3,5267,0
Precinct,101 - Precinct 1,205,539,0,744,0
Precinct,201 - Precinct 2,134,424,0,558,0
Precinct,301 - Precinct 3,176,221,0,397,0
Precinct,401 - Precinct 4,153,414,2,569,0
Precinct,501 - Precinct 5,204,322,1,527,0
Precinct,Ab - Central Absentee Precinct,1441,1019,0,2460,0
Precinct,Provisional,4,8,0,12,0
Locality,Danville City,12519,6680,14,19213,0
Precinct,1 - Ward One,180,45,0,225,0
Precinct,2 - Ward Two,143,83,0,226,0
Precinct,3 - Ward Three,267,107,0,374,0
Precinct,4 - Ward Four,463,364,0,827,0
Precinct,6 - Ward Six,210,31,1,242,0
Precinct,7 - Ward Seven,358,70,0,428,0
Precinct,8 - Ward Eight,299,111,0,410,0
Precinct,9 - Ward Nine,232,162,0,394,0
Precinct,10 - Ward Ten,298,191,1,490,0
Precinct,11 - Ward Eleven,405,151,1,557,0
Precinct,12 - Ward Twelve,382,231,1,614,0
Precinct,13 - Ward Thirteen,388,213,0,601,0
Precinct,14 - Ward Fourteen,84,5,0,89,0
Precinct,15 - Ward Fifteen,305,302,0,607,0
Precinct,16 - Ward Sixteen,303,439,0,742,0
Precinct,17 - Ward Seventeen,170,344,0,514,0
Precinct,Ab - Central Absentee Precinct,7923,3806,10,11739,0
Precinct,Provisional,109,25,0,134,0
Locality,Dickenson County,2052,5142,8,7202,0
Precinct,101 - South Clintwood,100,418,0,518,0
Precinct,201 - Nora,67,239,0,306,0
Precinct,202 - Frying Pan,32,112,0,144,0
Precinct,203 - Clinchco,84,277,1,362,0
Precinct,301 - West Dante,23,175,0,198,0
Precinct,302 - Herald,34,312,1,347,0
Precinct,303 - Ridge,69,306,0,375,0
Precinct,401 - Haysi-colley,238,583,1,822,0
Precinct,501 - Tarpon,52,119,0,171,0
Precinct,502 - North Clintwood,84,398,2,484,0
Precinct,Ab - Central Absentee Precinct,1269,2202,3,3474,0
Precinct,Provisional,0,1,0,1,0
Locality,Dinwiddie County,6445,8414,13,14872,0
Precinct,101 - White Oak,52,362,0,414,0
Precinct,102 - Rocky Run,81,385,0,466,0
Precinct,103 - Church Road,79,635,0,714,0
Precinct,201 - Rohoic,188,201,1,390,0
Precinct,202 - Sutherland,239,647,1,887,0
Precinct,301 - Reams,96,326,0,422,0
Precinct,302 - New Hope,135,371,1,507,0
Precinct,303 - Little Zion,234,324,1,559,0
Precinct,401 - Dinwiddie,145,413,1,559,0
Precinct,402 - Mckenney,161,303,0,464,0
Precinct,403 - Cherry Hill,118,192,0,310,0
Precinct,501 - Edgehill,72,44,0,116,0
Precinct,502 - Chesdin,490,366,0,856,0
Precinct,Ab - Central Absentee Precinct,4344,3841,8,8193,0
Precinct,Provisional,11,4,0,15,0
Locality,Emporia City,1618,712,2,2332,0
Precinct,101 - Precinct 1-1,163,63,1,227,0
Precinct,201 - Precinct 2-1,113,9,0,122,0
Precinct,301 - Precinct 3-1,99,103,0,202,0
Precinct,401 - Precinct 4-1,118,114,0,232,0
Precinct,501 - Precinct 5-1,117,7,0,124,0
Precinct,601 - District 6,82,133,0,215,0
Precinct,701 - District 7,137,45,0,182,0
Precinct,AB - Central Absentee Precinct,789,238,1,1028,0
Precinct,Provisional,0,0,0,0,0
Locality,Essex County,3194,2917,2,6113,0
Precinct,101 - Greater Tappahannock,239,219,0,458,0
Precinct,201 - North,300,203,0,503,0
Precinct,301 - South,227,514,1,742,0
Precinct,401 - Central,206,344,0,550,0
Precinct,Ab - Central Absentee Precinct,2215,1631,1,3847,0
Precinct,Provisional,7,6,0,13,0
Locality,Fairfax City,9179,4134,14,13327,0
Precinct,1 - One,314,249,2,565,0
Precinct,2 - Two,206,283,1,490,0
Precinct,3 - Three,341,370,0,711,0
Precinct,4 - Four,165,182,0,347,0
Precinct,5 - Five,239,257,0,496,0
Precinct,6 - Six,313,268,2,583,0
Precinct,Ab - Central Absentee Precinct,7540,2506,9,10055,0
Precinct,Provisional,61,19,0,80,0
Locality,Fairfax County,415791,178395,736,594922,0
Precinct,104 - Chapel (CD 11),315,372,0,687,0
Precinct,105 - Fairview (CD 11),689,631,3,1323,0
Precinct,106 - Heritage (CD 11),790,437,2,1229,0
Precinct,108 - Kings Park (CD 11),424,401,3,828,0
Precinct,109 - Little Run (CD 11),234,188,0,422,0
Precinct,110 - North Springfield (CD 11),686,666,4,1356,0
Precinct,113 - Canterbury (CD 11),529,560,0,1089,0
Precinct,114 - Olde Creek (CD 11),338,318,0,656,0
Precinct,115 - Ravensworth (CD 11),348,396,2,746,0
Precinct,116 - Wakefield (CD 11),356,336,1,693,0
Precinct,117 - Woodson (CD 11),330,388,1,719,0
Precinct,118 - Lake Braddock (CD 11),676,486,1,1163,0
Precinct,119 - Laurel (CD 11),600,606,3,1209,0
Precinct,120 - Sideburn (CD 11),375,562,2,939,0
Precinct,121 - Villa (CD 11),393,366,3,762,0
Precinct,123 - Robinson (CD 11),470,538,1,1009,0
Precinct,125 - Signal Hill (CD 11),418,424,2,844,0
Precinct,126 - Bonnie Brae (CD 11),450,313,0,763,0
Precinct,127 - Burke Centre (CD 11),731,555,4,1290,0
Precinct,128 - Cardinal (CD 11),448,333,2,783,0
Precinct,129 - Keene Mill (CD 11),320,288,1,609,0
Precinct,130 - Terra Centre (CD 11),422,377,1,800,0
Precinct,131 - Eagle View (CD 11),419,440,3,862,0
Precinct,132 - Monument (CD 11),343,270,2,615,0
Precinct,133 - Danbury (CD 11),197,125,1,323,0
Precinct,134 - University (CD 11),273,65,0,338,0
Precinct,201 - Armstrong (CD 11),461,394,4,859,0
Precinct,202 - Flint Hill (CD 11),295,410,2,707,0
Precinct,203 - Floris (CD 11),464,467,1,932,0
Precinct,204 - Madison (CD 11),150,104,1,255,0
Precinct,208 - Reston #1 (CD 11),561,362,1,924,0
Precinct,209 - Reston #2 (CD 11),628,278,2,908,0
Precinct,213 - Vienna #1 (CD 11),453,489,2,944,0
Precinct,214 - Vienna #2 (CD 11),318,376,1,695,0
Precinct,216 - Vienna #4 (CD 11),210,190,0,400,0
Precinct,218 - Vienna #6 (CD 11),229,235,2,466,0
Precinct,219 - Westbriar (CD 11),410,389,1,800,0
Precinct,220 - Dogwood (CD 11),706,427,3,1136,0
Precinct,221 - Hunters Woods (CD 11),336,300,0,636,0
Precinct,222 - Reston #3 (CD 11),365,166,0,531,0
Precinct,223 - Glade (CD 11),476,328,1,805,0
Precinct,224 - South Lakes (CD 11),588,449,1,1038,0
Precinct,225 - Hughes (CD 11),593,345,1,939,0
Precinct,226 - Wolftrap (CD 11),403,494,0,897,0
Precinct,227 - Sunrise Valley (CD 11),237,224,1,462,0
Precinct,229 - Fox Mill (CD 10),544,684,3,1231,0
Precinct,233 - North Point (CD 11),357,475,2,834,0
Precinct,234 - Aldrin (CD 11),331,305,1,637,0
Precinct,235 - Frying Pan (CD 11),407,294,4,705,0
Precinct,236 - Stuart (CD 11),258,193,0,451,0
Precinct,237 - Mcnair (CD 11),560,292,2,854,0
Precinct,238 - Cameron Glen (CD 11),236,283,0,519,0
Precinct,240 - Colvin (CD 10),230,311,0,541,0
Precinct,301 - Chain Bridge (CD 10),229,384,0,613,0
Precinct,302 - Chesterbrook (CD 8),173,232,2,407,0
Precinct,303 - Churchill (CD 10),185,224,0,409,0
Precinct,304 - Cooper (CD 10),159,263,1,423,0
Precinct,305 - El Nido (CD 8),229,273,1,503,0
Precinct,306 - Great Falls (CD 10),198,377,2,577,0
Precinct,307 - Haycock (CD 8),270,281,1,552,0
Precinct,309 - Kenmore (CD 10),292,365,0,657,0
Precinct,310 - Kirby (CD 8),222,243,1,466,0
Precinct,311 - Langley (CD 10),167,289,1,457,0
Precinct,312 - Longfellow (CD 8),243,290,0,533,0
Precinct,314 - Mclean (CD 10),133,208,1,342,0
Precinct,315 - Pimmit (CD 8),430,386,2,818,0
Precinct,316 - Salona #1 (CD 8),72,119,1,192,0
Precinct,317 - Westhampton (CD 8),194,240,1,435,0
Precinct,318 - Westmoreland (CD 8),178,171,0,349,0
Precinct,319 - Herndon #1 (CD 11),543,498,1,1042,0
Precinct,320 - Herndon #2 (CD 11),593,421,4,1018,0
Precinct,321 - Clearview (CD 10),502,563,3,1068,0
Precinct,322 - Forestville (CD 10),320,601,2,923,0
Precinct,323 - Shouse (CD 10),299,324,0,623,0
Precinct,324 - Herndon #3 (CD 11),542,378,0,920,0
Precinct,325 - Hutchison (CD 11),551,182,1,734,0
Precinct,327 - Sugarland (CD 10),397,487,0,884,0
Precinct,328 - Hickory (CD 10),226,425,2,653,0
Precinct,329 - Seneca (CD 10),395,566,2,963,0
Precinct,331 - Spring Hill (CD 10),183,232,1,416,0
Precinct,332 - Coates (CD 11),702,425,5,1132,0
Precinct,333 - Salona #2 (CD 8),155,166,1,322,0
Precinct,401 - Bush Hill (CD 8),554,497,1,1052,0
Precinct,402 - Cameron (CD 8),267,166,0,433,0
Precinct,403 - Forestdale (CD 8),249,153,1,403,0
Precinct,404 - Franconia (CD 8),486,365,0,851,0
Precinct,405 - Groveton (CD 8),414,164,1,579,0
Precinct,406 - Hayfield (CD 8),328,436,1,765,0
Precinct,408 - Mount Eagle (CD 8),524,230,0,754,0
Precinct,409 - Pioneer (CD 8),845,454,0,1299,0
Precinct,410 - Rose Hill (CD 8),736,602,2,1340,0
Precinct,411 - Virginia Hills (CD 8),531,315,2,848,0
Precinct,413 - Fairfield (CD 8),650,140,1,791,0
Precinct,415 - Crestwood (CD 8),653,498,3,1154,0
Precinct,417 - Garfield (CD 8),841,486,3,1330,0
Precinct,418 - Lynbrook (CD 8),578,280,2,860,0
Precinct,419 - Lane (CD 8),596,370,0,966,0
Precinct,420 - Villages (CD 8),610,407,2,1019,0
Precinct,421 - Kingstowne (CD 8),475,340,1,816,0
Precinct,422 - Van Dorn (CD 8),541,337,0,878,0
Precinct,423 - Clermont (CD 8),519,384,2,905,0
Precinct,424 - Huntley (CD 8),474,386,0,860,0
Precinct,426 - Greenspring (CD 11),348,230,0,578,0
Precinct,427 - Island Creek (CD 8),495,315,1,811,0
Precinct,428 - Pinewood (CD 8),610,167,2,779,0
Precinct,429 - Hybla Valley (CD 8),836,185,4,1025,0
Precinct,501 - Baileys (CD 8),652,254,1,907,0
Precinct,502 - Barcroft (CD 11),171,151,0,322,0
Precinct,503 - Belvedere (CD 11),213,168,0,381,0
Precinct,504 - Bristow (CD 11),570,291,1,862,0
Precinct,505 - Glen Forest (CD 8),554,271,1,826,0
Precinct,506 - Holmes #1 (CD 8),161,64,0,225,0
Precinct,507 - Lincolnia (CD 8),517,284,3,804,0
Precinct,508 - Masonville (CD 11),372,335,1,708,0
Precinct,509 - Plaza (CD 8),432,86,1,519,0
Precinct,510 - Parklawn (CD 8),390,232,0,622,0
Precinct,511 - Ravenwood (CD 11),359,285,1,645,0
Precinct,512 - Sleepy Hollow (CD 11),287,202,1,490,0
Precinct,513 - Saint Albans (CD 8),133,103,0,236,0
Precinct,513 - Saint Albans (CD 11),253,164,0,417,0
Precinct,514 - Crossroads (CD 8),116,33,1,150,0
Precinct,515 - Westlawn (CD 8),378,214,0,592,0
Precinct,516 - Weyanoke (CD 8),635,305,4,944,0
Precinct,517 - Willston (CD 8),367,207,0,574,0
Precinct,518 - Columbia (CD 11),504,349,5,858,0
Precinct,519 - Hummer (CD 11),290,256,3,549,0
Precinct,520 - Skyline (CD 8),512,160,0,672,0
Precinct,521 - Brook Hill (CD 8),400,331,1,732,0
Precinct,522 - Camelot (CD 11),224,234,0,458,0
Precinct,523 - Poe (CD 8),394,294,0,688,0
Precinct,525 - Walnut Hill (CD 8),487,402,3,892,0
Precinct,526 - Bren Mar (CD 8),695,322,3,1020,0
Precinct,527 - Edsall (CD 8),463,318,3,784,0
Precinct,528 - Ridgelea (CD 11),221,199,1,421,0
Precinct,530 - Holmes #2 (CD 11),385,133,0,518,0
Precinct,601 - Belle Haven (CD 8),342,341,1,684,0
Precinct,602 - Belleview (CD 8),257,288,0,545,0
Precinct,604 - Bucknell (CD 8),791,316,3,1110,0
Precinct,605 - Fort Hunt (CD 8),330,462,0,792,0
Precinct,606 - Hollin Hall (CD 8),325,409,0,734,0
Precinct,607 - Huntington (CD 8),558,346,2,906,0
Precinct,608 - Kirkside (CD 8),297,196,1,494,0
Precinct,609 - Marlan (CD 8),207,278,0,485,0
Precinct,610 - Sherwood (CD 8),351,200,3,554,0
Precinct,611 - Stratford (CD 8),399,497,1,897,0
Precinct,612 - Waynewood (CD 8),272,264,2,538,0
Precinct,613 - Westgate (CD 8),355,781,1,1137,0
Precinct,614 - Riverside (CD 8),276,380,0,656,0
Precinct,615 - Woodley (CD 8),476,405,2,883,0
Precinct,616 - Gunston (CD 8),424,587,0,1011,0
Precinct,617 - Lorton (CD 8),443,157,0,600,0
Precinct,618 - Newington (CD 11),905,754,3,1662,0
Precinct,619 - Belvoir (CD 8),456,319,0,775,0
Precinct,621 - Grosvenor (CD 8),434,241,2,677,0
Precinct,622 - Lorton Station (CD 8),741,296,3,1040,0
Precinct,623 - Alban (CD 8),628,364,5,997,0
Precinct,626 - Saratoga (CD 8),601,481,1,1083,0
Precinct,627 - Woodlawn (CD 8),844,440,1,1285,0
Precinct,628 - Laurel Hill (CD 11),723,354,1,1078,0
Precinct,629 - South County (CD 11),349,361,1,711,0
Precinct,630- Army (CD 8),125,121,1,247,0
Precinct,701 - Blake (CD 11),471,382,3,856,0
Precinct,703 - Fort Buffalo (CD 8),310,205,3,518,0
Precinct,704 - Freedom Hill (CD 11),293,244,2,539,0
Precinct,705 - Graham - Greenway (CD 8),468,361,2,831,0
Precinct,707 - Mantua (CD 11),264,262,1,527,0
Precinct,708 - Marshall (CD 8),433,348,2,783,0
Precinct,709 - Mosby (CD 11),473,315,3,791,0
Precinct,710 - Pine Spring (CD 8),354,218,1,573,0
Precinct,711 - Price (CD 11),293,279,0,572,0
Precinct,712 - Shreve (CD 8),175,176,0,351,0
Precinct,713 - Timber Lane (CD 8),498,296,3,797,0
Precinct,714 - Walker (CD 11),400,356,2,758,0
Precinct,717 - Woodburn (CD 11),276,189,0,465,0
Precinct,718 - Pine Ridge (CD 11),307,268,2,577,0
Precinct,720 - Thoreau (CD 11),294,363,0,657,0
Precinct,721 - Merrifield (CD 11),496,288,0,784,0
Precinct,723 - Gallows East (CD 11),234,152,2,388,0
Precinct,726 - Magarity (CD 8),443,319,2,764,0
Precinct,727 - Oakton (CD 11),234,349,2,585,0
Precinct,729 - Nottoway (CD 11),198,246,0,444,0
Precinct,730 - Penderbrook (CD 11),586,481,3,1070,0
Precinct,731 - Tysons (CD 11),461,358,2,821,0
Precinct,732 - Oak Marr (CD 11),275,468,2,745,0
Precinct,733 - Kilmer (CD 11),426,318,2,746,0
Precinct,734 - Hunters Branch (CD 11),143,116,0,259,0
Precinct,735 - Rotonda (CD 11),325,195,0,520,0
Precinct,801 - Burke (CD 11),759,553,2,1314,0
Precinct,802 - Cedar Lake (CD 11),150,115,1,266,0
Precinct,803 - Clifton (CD 10),271,794,0,1065,0
Precinct,804 - Colchester (CD 10),228,354,1,583,0
Precinct,805 - Fairfax Station (CD 10),241,331,2,574,0
Precinct,806 - Sydenstricker (CD 11),512,484,1,997,0
Precinct,807 - Hunt Valley (CD 11),342,374,2,718,0
Precinct,811 - Pohick (CD 11),377,271,0,648,0
Precinct,812 - Valley (CD 11),473,412,2,887,0
Precinct,815 - Woodyard (CD 10),344,571,0,915,0
Precinct,824 - Orange (CD 11),620,636,3,1259,0
Precinct,825 - Cherry Run (CD 11),416,488,1,905,0
Precinct,827 - Irving (CD 11),351,373,0,724,0
Precinct,833 - White Oaks (CD 11),596,457,5,1058,0
Precinct,838 - Sangster (CD 10),297,355,3,655,0
Precinct,839 - Silverbrook (CD 10),360,513,1,874,0
Precinct,840 - West Springfield (CD 11),502,440,1,943,0
Precinct,841 - Popes Head (CD 10),166,333,0,499,0
Precinct,842 - Parkway (CD 11),275,445,2,722,0
Precinct,843 - Fair Lakes (CD 11),492,363,0,855,0
Precinct,844 - Centerpointe (CD 11),305,231,0,536,0
Precinct,845 - Fountainhead (CD 10),387,709,3,1099,0
Precinct,846 - Greenbriar East (CD 11),461,369,2,832,0
Precinct,847 - Greenbriar West (CD 10),322,349,1,672,0
Precinct,848 - Fair Oaks (CD 11),320,299,2,621,0
Precinct,849 - Newgate (CD 10),506,776,1,1283,0
Precinct,850 - South Run (CD 10),258,458,0,716,0
Precinct,851 - Willow Springs (CD 11),308,374,0,682,0
Precinct,901 - Centre Ridge (CD 11),443,368,1,812,0
Precinct,902 - Brookfield (CD 10),752,530,2,1284,0
Precinct,903 - Cub Run (CD 10),459,534,1,994,0
Precinct,904 - Stonecroft (CD 10),215,282,1,498,0
Precinct,905 - Franklin (CD 10),135,142,0,277,0
Precinct,908 - Hidden Meadow (CD 10),279,368,0,647,0
Precinct,909 - Oak Hill (CD 10),309,314,0,623,0
Precinct,910 - London Towne (CD 11),631,409,1,1041,0
Precinct,911 - Navy (CD 10),393,448,2,843,0
Precinct,913 - Rocky Run (CD 10),424,613,1,1038,0
Precinct,914 - Vale (CD 10),252,363,0,615,0
Precinct,915 - Virginia Run (CD 10),315,529,2,846,0
Precinct,916 - Waples Mill (CD 10),401,630,1,1032,0
Precinct,917 - Stone North (CD 10),262,238,1,501,0
Precinct,918 - Centreville (CD 11),710,501,0,1211,0
Precinct,919 - Green Trails (CD 11),628,439,2,1069,0
Precinct,920 - Chantilly (CD 10),362,320,4,686,0
Precinct,921 - Deer Park (CD 10),443,523,1,967,0
Precinct,923 - Bull Run (CD 10),266,513,1,780,0
Precinct,924 - Spindle (CD 11),312,163,4,479,0
Precinct,925 - Old Mill (CD 10),299,272,1,572,0
Precinct,926 - Powell (CD 11),754,567,1,1322,0
Precinct,927 - Armfield (CD 10),259,269,1,529,0
Precinct,928 - Poplar Tree (CD 10),373,463,1,837,0
Precinct,929 - Difficult Run (CD 10),100,162,1,263,0
Precinct,930 - Lees Corner (CD 10),301,323,2,626,0
Precinct,931 - Carson (CD 10),399,320,1,720,0
Precinct,932 - Stone South (CD 10),278,198,0,476,0
Precinct,933 - Compton (CD 11),115,111,2,228,0
Precinct,Ab - Central Absentee Precinct (CD 10),59829,24419,64,84312,0
Precinct,Ab - Central Absentee Precinct (CD 11),159602,44405,222,204229,0
Precinct,Ab - Central Absentee Precinct (CD 8),96066,24473,126,120665,0
Precinct,Provisional (CD 10),301,187,0,488,0
Precinct,Provisional (CD 11),1182,441,2,1625,0
Precinct,Provisional (CD 8),807,269,1,1077,0
Locality,Falls Church City,7016,1750,10,8776,0
Precinct,1 - First Ward,268,222,1,491,0
Precinct,2 - Second Ward,202,167,0,369,0
Precinct,3 - Third Ward,191,167,0,358,0
Precinct,Ab - Central Absentee Precinct,6337,1187,9,7533,0
Precinct,Provisional,18,7,0,25,0
Locality,Fauquier County,17468,24937,41,42446,0
Precinct,101 - Kettle Run (CD 5),79,330,2,411,0
Precinct,102 - Catlett (CD 1),145,882,1,1028,0
Precinct,103 - Casanova (CD 5),125,376,0,501,0
Precinct,104 - Lois (CD 1),98,434,1,533,0
Precinct,105 - Opal (CD 5),90,422,0,512,0
Precinct,106 - Baldwin Ridge (CD 5),126,418,1,545,0
Precinct,201 - Courthouse (CD 5),272,599,2,873,0
Precinct,202 - Airlie (CD 5),167,537,0,704,0
Precinct,203 - Warrenton (CD 5),232,497,1,730,0
Precinct,301 - Morrisville (CD 1),118,736,0,854,0
Precinct,302 - Remington (CD 5),266,777,1,1044,0
Precinct,303 - Bealeton (CD 1),311,776,3,1090,0
Precinct,401 - Marshall (CD 5),278,690,0,968,0
Precinct,402 - Leeds (CD 5),251,692,2,945,0
Precinct,403 - Waterloo (CD 5),159,709,2,870,0
Precinct,404 - Springs Valley (CD 5),72,300,0,372,0
Precinct,501 - The Plains (CD 5),327,591,0,918,0
Precinct,502 - New Baltimore (CD 5),135,548,1,684,0
Precinct,503 - Broad Run (CD 5),125,454,0,579,0
Precinct,504 - Vint Hill (CD 5),157,519,0,676,0
Precinct,Ab - Central Absentee Precinct (CD 1),2321,2714,3,5038,0
Precinct,Ab - Central Absentee Precinct (CD 5),11517,10848,21,22386,0
Precinct,Provisional (CD 1),22,19,0,41,0
Precinct,Provisional (CD 5),75,69,0,144,0
Locality,Floyd County,3407,5908,13,9328,0
Precinct,101 - Locust Grove,184,697,1,882,0
Precinct,201 - Little River,91,615,2,708,0
Precinct,301 - Courthouse,138,413,2,553,0
Precinct,401 - Burks Fork,130,676,0,806,0
Precinct,501 - Indian Valley,118,790,0,908,0
Precinct,Ab - Central Absentee Precinct,2725,2695,8,5428,0
Precinct,Provisional,21,22,0,43,0
Locality,Fluvanna County,7830,7880,9,15719,0
Precinct,101 - Palmyra,333,766,0,1099,0
Precinct,201 - Columbia,280,752,0,1032,0
Precinct,301 - Fork Union,335,696,1,1032,0
Precinct,401 - Cunningham,252,996,1,1249,0
Precinct,501 - Rivanna,270,543,2,815,0
Precinct,Ab - Central Absentee Precinct,6315,4085,5,10405,0
Precinct,Provisional,45,42,0,87,0
Locality,Franklin City,2549,1410,2,3961,0
Precinct,101 - Precinct 1-1,111,292,0,403,0
Precinct,201 - Precinct 2-1,157,204,0,361,0
Precinct,301 - Precinct 3-1,189,25,0,214,0
Precinct,401 - Precinct 4-1,158,33,0,191,0
Precinct,501 - Precinct 5-1,164,7,0,171,0
Precinct,601 - Precinct 6-1,157,137,0,294,0
Precinct,Ab - Central Absentee Precinct,1591,709,2,2302,0
Precinct,Provisional,22,3,0,25,0
Locality,Franklin County,9907,19505,27,29439,0
Precinct,102 - Burnt Chimney,226,925,1,1152,0
Precinct,103 - Scruggs,317,1349,1,1667,0
Precinct,201 - Glade Hill,230,868,0,1098,0
